species,c,h,s,i
Trichophyton_interdigitale,1.0,0.0,0.0,0.0
Trametes_cinnabarina,1.0,1.0,0.0,0.0
Pleurotus_ostreatus,0.0,4.0,0.0,0.0
Jaapia_argillacea,3.0,0.0,0.0,0.0
Aureobasidium_pullulans,1.0,4.0,0.0,0.0
Scedosporium_apiospermum,3.0,13.0,0.0,0.0
Podospora_anserina,5.0,12.0,0.0,0.0
Fusarium_graminearum,3.0,10.0,2.0,0.0
Penicillium_expansum,1.0,4.0,0.0,0.0
Rhizoctonia_solani,3.0,26.0,0.0,0.0
Piloderma_croceum,0.0,6.0,1.0,1.0
Phaeomoniella_chlamydospora,0.0,2.0,1.0,0.0
Schizopora_paradoxa,1.0,0.0,0.0,0.0
Spizellomyces_punctatus,0.0,2.0,1.0,0.0
Conidiobolus_coronatus,0.0,0.0,19.0,29.0
Sistotremastrum_niveocremeum,14.0,0.0,0.0,0.0
Exidia_glandulosa,4.0,9.0,0.0,0.0
Calocera_viscosa,1.0,1.0,1.0,0.0
Alternaria_alternata,3.0,20.0,0.0,0.0
Tilletia_indica,0.0,10.0,1.0,0.0
Valsa_mali,0.0,3.0,1.0,0.0
Grifola_frondosa,2.0,1.0,1.0,0.0
Coniochaeta_ligniaria,3.0,10.0,0.0,0.0
Aspergillus_oryzae,1.0,7.0,2.0,0.0
Rachicladosporium_antarcticum,6.0,4.0,0.0,0.0
Postia_placenta,1.0,0.0,0.0,0.0
Zymoseptoria_tritici,5.0,10.0,0.0,0.0
Basidiobolus_meristosporus,0.0,0.0,4.0,28.0
Coemansia_reversa,0.0,0.0,0.0,8.0
Ganoderma_sinense,2.0,1.0,0.0,0.0
Elsinoe_australis,1.0,4.0,0.0,0.0
Botrytis_cinerea,4.0,7.0,0.0,0.0
Arthrobotrys_flagrans,10.0,4.0,1.0,0.0
Thamnocephalis_sphaerospora,0.0,0.0,1.0,29.0
Dimargaris_cristalligena,0.0,0.0,1.0,5.0
Xylaria_hypoxylon,3.0,10.0,1.0,0.0
Viridothelium_virens,2.0,3.0,1.0,0.0
Lineolata_rhizophorae,3.0,3.0,0.0,0.0
Microthyrium_microscopicum,2.0,8.0,0.0,0.0
Pseudovirgaria_hyperparasitica,6.0,6.0,1.0,0.0
Eremomyces_bilateralis,2.0,7.0,0.0,0.0
Trichodelitschia_bisporula,2.0,3.0,0.0,0.0
Pyricularia_grisea,3.0,14.0,0.0,0.0
Lepidopterella_palustris,3.0,3.0,0.0,0.0
Heterodermia_speciosa,7.0,5.0,1.0,0.0
Gomphillus_americanus,1.0,3.0,1.0,0.0
Imshaugia_aleurites,0.0,1.0,2.0,0.0
Venturia_inaequalis,3.0,9.0,0.0,0.0
Gigaspora_margarita,13.0,0.0,0.0,0.0
Colletotrichum_gloeosporioides,3.0,30.0,1.0,0.0
Endocarpon_pusillum,4.0,1.0,0.0,0.0
Agaricus_bisporus,6.0,0.0,0.0,0.0
Fusarium_oxysporum,9.0,6.0,1.0,0.0
Parascedosporium_putredinis,0.0,0.0,19.0,0.0
Rhizodiscina_lignyota,0.0,0.0,7.0,0.0
Patellaria_atrata,0.0,0.0,12.0,0.0
Russula_ochroleuca,0.0,0.0,11.0,0.0
Thelephora_terrestris,0.0,0.0,10.0,0.0
Linnemannia_gamsii,0.0,0.0,1.0,0.0
Glutinoglossum_americanum,0.0,0.0,4.0,0.0
Aspergillus_niger,0.0,6.0,1.0,0.0
Neurospora_crassa,3.0,5.0,0.0,0.0
Coprinopsis_cinerea,2.0,18.0,0.0,0.0
Tuber_melanosporum,2.0,1.0,1.0,0.0
Puccinia_graminis,0.0,5.0,0.0,0.0
Batrachochytrium_dendrobatidis,0.0,9.0,1.0,2.0
Trichoderma_reesei,2.0,0.0,1.0,0.0
Thermothelomyces_thermophilus,1.0,9.0,0.0,0.0
Thermothielavioides_terrestris,3.0,7.0,0.0,0.0
Serendipita_indica,4.0,4.0,0.0,0.0
Exophiala_dermatitidis,1.0,3.0,0.0,0.0
Wallemia_mellicola,0.0,4.0,0.0,0.0
Macrophomina_phaseolina,2.0,10.0,0.0,0.0
Phanerochaete_carnosa,2.0,0.0,0.0,0.0
Chaetomium_globosum,3.0,14.0,0.0,0.0
Aspergillus_fumigatus,1.0,2.0,0.0,0.0
Gloeophyllum_trabeum,0.0,2.0,0.0,0.0
Sporothrix_schenckii,3.0,3.0,0.0,0.0
Suillus_luteus,1.0,0.0,0.0,0.0
Ustilago_maydis,0.0,2.0,0.0,0.0
Nosema_ceranae,0.0,0.0,1.0,0.0
Rhizophagus_irregularis,1.0,0.0,0.0,0.0
Acaromyces_ingoldii,0.0,1.0,0.0,1.0
Pseudogymnoascus_destructans,0.0,1.0,0.0,0.0
