DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,activity-binary
COLOR,#000000
FIELD_SHAPES,1,2,3,4,5
FIELD_LABELS,Tyrosinase,Catechol oxidase,Hemocyanin,Ortho-methoxy phenolase,O-aminophenol oxidase
FIELD_COLORS,#849cc2,#94de31,#5f173d,#760bc7,#4b588b
DATA
ScTyr,1,-1,-1,-1,-1
BmTyr,1,-1,-1,-1,-1
VvPPO,-1,1,-1,-1,-1
IbCO,-1,1,-1,-1,-1
AoMelB,1,-1,-1,-1,-1
EdHc,-1,-1,1,-1,-1
RvHc,-1,-1,1,-1,-1
AoCO4,-1,-1,-1,1,-1
CgPPO-473,-1,-1,-1,1,-1
CgPPO-266,-1,-1,-1,1,-1
MtPPO-809,-1,-1,-1,1,-1
MtPPO-010,-1,-1,-1,1,-1
PpPPO-c2092,-1,-1,-1,1,-1
MtPPO7,-1,-1,-1,1,-1
AbTyr,1,-1,-1,-1,-1
NpsF,-1,-1,-1,-1,1
SlPPO1,-1,1,-1,-1,-1
MdPPO1,-1,1,-1,-1,-1
CgAUS1,-1,1,-1,-1,-1
HsTrp1,1,-1,-1,-1,-1
HjTyr,1,-1,-1,-1,-1
PsTyr,1,-1,-1,-1,-1
GriF,-1,-1,-1,-1,1
