DATASET_EXTERNALSHAPE
SEPARATOR SPACE
DATASET_LABEL Count
COLOR #A020F0
LEGEND_TITLE Count
FIELD_COLORS #10aefd #db9758 #f71252 #07981e #6985b5 #ecd75a #fb8b34 #8e1730 #52099b #119d58 #faec7f
FIELD_LABELS a b c d e f g h i j singletons
SHOW_LABELS 1
DATA
Albugo_candida 0 0 0 0 0 0 0 1.0 0 0 0
Saprolegnia_parasitica 0 0 0 0 0 0 0 5 0 0 0
Fimbriimonas_ginsengisoli 0 0 0 0 0 0 0 0 0 0 1.0
Stylonychia_lemnae 0 2.0 0 0 0 0 0 0 0 0 0
Homo_sapiens 0 0 0 0 4.0 0 0 0 0 0 0
Plasmodiophora_brassicae 0 0 0 0 0 0 0 0 0 0 3.0
Sphaeroforma_arctica 0 0 0 0 0 0 0 0 0 0 1.0
Puccinia_striiformis 0 0 0 0 0 0 0 0 5 0 0
Conidiobolus_coronatus 0 0 0 0 0 0 0 0 0 5 0
Luteitalea_pratensis 0 0 0 1.0 0 0 0 0 0 0 0
Alligator_mississippiensis 0 0 0 0 4.0 0 0 0 0 0 0
Calocera_cornea 0 0 1.0 0 0 0 0 0 0 0 1.0
Marchantia_polymorpha 5 0 0 0 0 0 0 0 0 0 0
Alternaria_alternata 0 0 3.0 0 0 0 0 0 5 0 0
Fragilariopsis_cylindrus 0 0 0 0 0 0 0 0 0 0 1.0
Xenopus_laevis 0 0 0 0 5 0 0 0 0 0 0
Cystobacter_ferrugineus 0 0 0 1.0 0 0 0 0 0 0 0
Lingula_anatina 0 0 0 0 0 5 0 0 0 0 0
Aspergillus_oryzae 0 2.0 1.0 0 0 0 0 0 5 0 0
Klebsormidium_nitens 1.0 0 1.0 0 0 0 0 0 0 0 0
Basidiobolus_meristosporus 0 1.0 0 0 0 0 0 0 0 5 0
Coemansia_reversa 0 0 0 0 0 0 0 0 0 5 0
Fusarium_oxysporum 0 0 3.0 0 0 0 0 0 5 0 0
Physcomitrium_patens 5 0 0 0 0 0 0 0 0 0 0
Populus_trichocarpa 5 0 0 0 0 0 0 0 0 0 0
Nostoc_commune 0 0 0 0 0 0 0 0 0 0 1.0
Tuber_borchii 0 0 3.0 0 0 0 0 0 5.0 0 1.0
Gracilariopsis_chorda 0 1.0 0 0 0 0 0 0 0 0 2.0
Rhizophagus_clarus 0 0 4.0 0 0 0 0 0 0 0 0
Deinococcus_yavapaiensis 0 0 0 0 0 0 0 0 0 0 1.0
Botrytis_cinerea 0 0 4.0 0 0 0 0 0 5 0 0
