DATASET_HEATMAP
SEPARATOR SPACE
DATASET_LABEL Count
COLOR #A020F0
LEGEND_TITLE Count
FIELD_LABELS a_plants b_cnidaria c_long_fungal d_bacteria e_chordata f_mollusc g_cnidaria2 h_oomycota i_short_fungal j_zoopagomycota singletons
COLOR_NAN #FFFFFF
COLOR_MIN #cfe2f3
COLOR_MAX #073763
DISPLAY_VALUES original
VALUE_COLOR #c90076
DATA
Albugo_candida X X X X X X X 1.0 X X X
Saprolegnia_parasitica X X X X X X X 6.0 X X X
Fimbriimonas_ginsengisoli X X X X X X X X X X 1.0
Stylonychia_lemnae X 2.0 X X X X X X X X X
Homo_sapiens X X X X 4.0 X X X X X X
Plasmodiophora_brassicae X X X X X X X X X X 3.0
Sphaeroforma_arctica X X X X X X X X X X 1.0
Puccinia_striiformis X X X X X X X X 6.0 X X
Conidiobolus_coronatus X X X X X X X X X 36.0 X
Luteitalea_pratensis X X X 1.0 X X X X X X X
Alligator_mississippiensis X X X X 4.0 X X X X X X
Calocera_cornea X X 1.0 X X X X X X X 1.0
Marchantia_polymorpha 24.0 X X X X X X X X X X
Alternaria_alternata X X 3.0 X X X X X 19.0 X X
Fragilariopsis_cylindrus X X X X X X X X X X 1.0
Xenopus_laevis X X X X 10.0 X X X X X X
Cystobacter_ferrugineus X X X 1.0 X X X X X X X
Lingula_anatina X X X X X 7.0 X X X X X
Aspergillus_oryzae X 2.0 1.0 X X X X X 7.0 X X
Klebsormidium_nitens 1.0 X 1.0 X X X X X X X X
Basidiobolus_meristosporus X 1.0 X X X X X X X 25.0 X
Coemansia_reversa X X X X X X X X X 7.0 X
Fusarium_oxysporum X X 3.0 X X X X X 8.0 X X
Physcomitrium_patens 15.0 X X X X X X X X X X
Populus_trichocarpa 11.0 X X X X X X X X X X
Nostoc_commune X X X X X X X X X X 1.0
Tuber_borchii X X 3.0 X X X X X 5.0 X 1.0
Gracilariopsis_chorda X 1.0 X X X X X X X X 2.0
Rhizophagus_clarus X X 4.0 X X X X X X X X
Deinococcus_yavapaiensis X X X X X X X X X X 1.0
Botrytis_cinerea X X 4.0 X X X X X 7.0 X X
Chara_braunii 1.0 X X X X X X X X X X
Pocillopora_damicornis X X X X 1.0 X 6.0 X X X X
Flavobacterium_macacae X 1.0 X X X X X X X X X
Thamnocephalis_sphaerospora X X X X X X X X X 21.0 X
Dimargaris_cristalligena X X X X X X X X X 6.0 X
Edaphobacter_modestus X X X X X X X X X X 1.0
Wallemia_hederae X X X X X X X X 4.0 X X
Callorhinchus_milii X X X X 26.0 X X X X X X
Fasciola_gigantica X X X X 2.0 X X X X X X
Brevifollis_gellanilyticus X X X X X X X X X X 1.0
Chitinophaga_japonensis X 1.0 X X X X X X X X X
Octopus_vulgaris X X X X 1.0 10.0 X X X X X
Clytia_hemisphaerica X 4.0 X X X X 3.0 X X X X
Candidatus_Manganitrophus_noduliformans X X X X X X X X X X 1.0
Didymodactylos_carnosus X X X 1.0 1.0 X X X X X X
Longimicrobium_terrae X X X X X X X X X X 2.0
Erpetoichthys_calabaricus X X X X 3.0 X X X X X X
Letharia_columbiana X X 1.0 X X X X X 1.0 X X
Agaricus_bisporus X X 6.0 X X X X X X X X
Ktedonospora_formicarum X X X X X X X X X X 1.0
Branchiostoma_lanceolatum X X X X 10.0 X X X X X X
Pythium_oligandrum X X X X X X X 5.0 X X X
Danio_rerio X X X X 5.0 X X X X X X
Mytilus_edulis X X X X X 38.0 X X X X X
Gallus_gallus X X X X 9.0 X X X X X X
Echinicola_pacifica X X X X X X X X X X 1.0
Peribacillus_psychrosaccharolyticus X X X X X X X X X X 1.0
Adiantum_capillus-veneris X X X X X X X X X X 21.0
Dissophora_globulifera X X X X X X X X X X 1.0
Trichoglossum_hirsutum X X X X X X X X X X 1.0
Phytophthora_infestans X X X X X X X 4.0 X X X
Ectocarpus_siliculosus X 1.0 X X X X X X X X X
Chlorella_variabilis X X 1.0 X X X X X X X X
Aureococcus_anophagefferens X X X X X X X X X X 1.0
Batrachochytrium_dendrobatidis X X X X X X X X 9.0 2.0 X
Ciona_intestinalis X X X X 3.0 X X X X X 1.0
Anolis_carolinensis X X X X 3.0 X X X X X X
Orbilia_oligospora X 1.0 10.0 X X X X X 4.0 X X
Singulisphaera_acidiphila X X X 1.0 X X X X X X X
Galdieria_sulphuraria X X X 1.0 X X X X X X X
Caenorhabditis_elegans X X X X X 6.0 X X X X X
Dictyostelium_discoideum X X X X X X X X X X 2.0
Burkholderia_pseudomallei X 1.0 X X X X X X X X X
Rhizobium_etli X X X X X X X X X X 1.0
Streptomyces_coelicolor X X X 1.0 X X X X X X X
Emiliania_huxleyi X X X X X X X X X X 4.0
Capitella_teleta X X X X 2.0 1.0 X X X X X
Helobdella_robusta X X X X X 1.0 X X X X X
Lottia_gigantea X 1.0 X X X 2.0 X X X X X
Nannochloropsis_gaditana X X X X X X X X X X 1.0
