DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	class
COLOR	#ff0000
DATA
Alternaria_alternata	#df3f73	Dothideomycetes
Aspergillus_oryzae	#f0a06d	Eurotiomycetes
Trichoglossum_hirsutum	#2146ea	Geoglossomycetes
Letharia_lupina	#a63d8a	Lecanoromycetes
Botrytis_cinerea	#501623	Leotiomycetes
Arthrobotrys_flagrans	#72d750	Orbiliomycetes
Terfezia_boudieri	#d363b9	Pezizomycetes
Fusarium_oxysporum	#7a0c28	Sordariomycetes
Agaricus_bisporus	#12e7d1	Agaricomycetes
Calocera_viscosa	#10411a	Dacrymycetes
Acaromyces_ingoldii	#fe42d0	Exobasidiomycetes
Puccinia_striiformis	#9a3233	Pucciniomycetes
Ustilago_maydis	#24e1bd	Ustilaginomycetes
Wallemia_mellicola	#297238	Wallemiomycetes
Batrachochytrium_dendrobatidis	#4ca3ec	Chytridiomycetes
Rhizophagus_irregularis	#c4d28c	Glomeromycetes
Mortierella_hygrophila	#bf93d7	Mortierellomycetes
Basidiobolus_meristosporus	#4ca073	Basidiobolomycetes
Dimargaris_cristalligena	#39d016	Dimargaritomycetes
Conidiobolus_coronatus	#317651	Entomophthoromycetes
Coemansia_reversa	#e212f3	Kickxellomycetes
Thamnocephalis_sphaerospora	#552da0	Zoopagomycetes
Helobdella_robusta	#61c111	Clitellata
Capitella_teleta	#b28654	Polychaeta
Trichonephila_clavata	#ddd084	Arachnida
Ladona_fulva	#d40267	Insecta
Lingula_anatina	#e426a2	Lingulata
Bugula_neritina	#7dafcc	Gymnolaemata
Danio_rerio	#8ca5ec	Actinopteri
Xenopus_laevis	#497a90	Amphibia
Ciona_intestinalis	#5b5f29	Ascidiacea
Gallus_gallus	#3d2ccf	Aves
Callorhinchus_milii	#88b7c5	Chondrichthyes
Erpetoichthys_calabaricus	#e95614	Cladistia
Anolis_carolinensis	#9aea75	Lepidosauria
Branchiostoma_lanceolatum	#5472ba	Leptocardii
Homo_sapiens	#593ee5	Mammalia
Actinia_tenebrosa	#5a2865	Anthozoa
Clytia_hemisphaerica	#f5d40b	Hydrozoa
Acanthaster_planci	#b1f4dc	Asteroidea
Strongylocentrotus_purpuratus	#a7f7fe	Echinoidea
Holothuria_leucospilota	#de9261	Holothuroidea
Mytilus_edulis	#72844e	Bivalvia
Octopus_vulgaris	#02907b	Cephalopoda
Lottia_gigantea	#165c4c	Gastropoda
Caenorhabditis_elegans	#a9cef9	Chromadorea
Schistosoma_mansoni	#a38b71	Trematoda
Amphimedon_queenslandica	#7c390a	Demospongiae
Didymodactylos_carnosus	#28ebef	Eurotatoria
Edaphobacter_modestus	#86065c	Acidobacteriia
Luteitalea_pratensis	#e56796	Vicinamibacteria
Candidatus_Microthrix_parvicella	#cf40f6	Acidimicrobiia
Streptomyces_coelicolor	#5103ca	Actinomycetia
Fimbriimonas_ginsengisoli	#c7fb02	Fimbriimonadia
Fragilariopsis_cylindrus	#fdd44a	Bacillariophyceae
Thalassiosira_oceanica	#7b99dc	Coscinodiscophyceae
Chitinophaga_japonensis	#8b1b4b	Chitinophagia
Echinicola_pacifica	#f716a1	Cytophagia
Flavobacterium_macacae	#fff045	Flavobacteriia
Haliscomenobacter_hydrossis	#2023dd	Saprospiria
Mucilaginibacter_frigoritolerans	#552675	Sphingobacteriia
Ktedonospora_formicarum	#fa90d1	Ktedonobacteria
Pseudocohnilembus_persalinus	#ec4207	Oligohymenophorea
Stylonychia_lemnae	#cd60e5	Spirotrichea
Deinococcus_yavapaiensis	#458268	Deinococci
Plasmodiophora_brassicae	#d7434d	Phytomyxea
Dictyostelium_discoideum	#b2ce57	Eumycetozoa
Peribacillus_psychrosaccharolyticus	#c69060	Bacilli
Sporotomaculum_syntrophicum	#fad39d	Clostridia
Longimicrobium_terrae	#54e345	Longimicrobia
Hondaea_fermentalgiana	#e1f835	Bigyra
Salpingoeca_rosetta	#32826b	Choanoflagellata
Polarella_glacialis	#d491a5	Dinophyceae
Nannochloropsis_gaditana	#12152d	Eustigmatophyceae
Sphaeroforma_arctica	#0172fd	Ichthyosporea
Aureococcus_anophagefferens	#e08d56	Pelagophyceae
Ectocarpus_siliculosus	#213fe8	Phaeophyceae
Tribonema_minus	#19e4b2	Xanthophyceae
Candidatus_Nitrospira_nitrosa	#b303bf	Nitrospira
Rubripirellula_lacrimiformis	#2f7c10	Planctomycetia
Rhizobium_etli	#4dd485	Alphaproteobacteria
Burkholderia_pseudomallei	#37aeeb	Betaproteobacteria
Cystobacter_ferrugineus	#e87cf4	Deltaproteobacteria
Pseudomonas_asplenii	#f8592c	Gammaproteobacteria
Galdieria_sulphuraria	#475248	Bangiophyceae
Gracilariopsis_chorda	#ead2e6	Florideophyceae
Nitrososphaeraceae_archaeon	#df7e58	Nitrososphaeria
Luteolibacter_ambystomatis	#e4e8a6	Verrucomicrobiae
Chlamydomonas_reinhardtii	#afbbc1	Chlorophyceae
Chloropicon_primus	#84ab94	Chloropicophyceae
Chlorella_variabilis	#ea9f37	Trebouxiophyceae
Physcomitrium_patens	#d8bc2a	Bryopsida
Chara_braunii	#a820c0	Charophyceae
Klebsormidium_nitens	#4ea83e	Klebsormidiophyceae
Populus_trichocarpa	#7984f3	Magnoliopsida
Marchantia_polymorpha	#a5685d	Marchantiopsida
Adiantum_capillus-veneris	#10d836	Polypodiopsida
