DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	family-strip
COLOR	#ff0000
DATA
Pseudovirgaria_hyperparasitica	#b25cda	Acrospermaceae
Aulographum_hederae	#8114ca	Aulographaceae
Rhizodiscina_lignyota	#81a388	Rhizodiscinaceae
Aplosporella_prunicola	#d4a1e1	Aplosporellaceae
Botryosphaeria_dothidea	#77c1e5	Botryosphaeriaceae
Diplodia_corticola	#77c1e5	Botryosphaeriaceae
Diplodia_seriata	#77c1e5	Botryosphaeriaceae
Lasiodiplodia_theobromae	#77c1e5	Botryosphaeriaceae
Macrophomina_phaseolina	#77c1e5	Botryosphaeriaceae
Neofusicoccum_parvum	#77c1e5	Botryosphaeriaceae
Saccharata_proteae	#fde62b	Saccharataceae
Polychaeton_citri	#f05049	Capnodiaceae
Piedraia_hortae	#c71151	Piedraiaceae
Rachicladosporium_antarcticum	#7f3878	Cladosporiaceae
Rachicladosporium_sp._CCFEE_5018	#7f3878	Cladosporiaceae
Aureobasidium_melanogenum	#662477	Saccotheciaceae
Aureobasidium_melanogenum	#662477	Saccotheciaceae
Aureobasidium_mustum	#662477	Saccotheciaceae
Aureobasidium_namibiae	#662477	Saccotheciaceae
Aureobasidium_pullulans	#662477	Saccotheciaceae
Aureobasidium_subglaciale	#662477	Saccotheciaceae
Aureobasidium_uvarum	#662477	Saccotheciaceae
Aureobasidium_vineae	#662477	Saccotheciaceae
Eremomyces_bilateralis	#8f7f94	Eremomycetaceae
Lineolata_rhizophorae	#a4dabf	Lineolataceae
Microthyrium_microscopicum	#5aa0b7	Microthyriaceae
Dissoconium_aciculare	#b0207c	Dissoconiaceae
Cercospora_berteroae	#fb4b9b	Mycosphaerellaceae
Cercospora_zeae-maydis	#fb4b9b	Mycosphaerellaceae
Dothistroma_septosporum	#fb4b9b	Mycosphaerellaceae
Fulvia_fulva	#fb4b9b	Mycosphaerellaceae
Pseudocercospora_eumusae	#fb4b9b	Mycosphaerellaceae
Pseudocercospora_fijiensis	#fb4b9b	Mycosphaerellaceae
Pseudocercospora_fuligena	#fb4b9b	Mycosphaerellaceae
Pseudocercospora_musae	#fb4b9b	Mycosphaerellaceae
Ramularia_collo-cygni	#fb4b9b	Mycosphaerellaceae
Septoria_linicola	#fb4b9b	Mycosphaerellaceae
Sphaerulina_musiva	#fb4b9b	Mycosphaerellaceae
Zasmidium_cellare	#fb4b9b	Mycosphaerellaceae
Zymoseptoria_brevis	#fb4b9b	Mycosphaerellaceae
Zymoseptoria_tritici	#fb4b9b	Mycosphaerellaceae
Zymoseptoria_tritici	#fb4b9b	Mycosphaerellaceae
Acidomyces_sp._'richmondensis'	#712c15	Teratosphaeriaceae
Baudoinia_panamericana	#712c15	Teratosphaeriaceae
Friedmanniomyces_endolithicus	#712c15	Teratosphaeriaceae
Friedmanniomyces_simplex	#712c15	Teratosphaeriaceae
Hortaea_werneckii	#712c15	Teratosphaeriaceae
Hortaea_werneckii	#712c15	Teratosphaeriaceae
Neohortaea_acidophila	#712c15	Teratosphaeriaceae
Salinomyces_thailandica	#712c15	Teratosphaeriaceae
Teratosphaeria_nubilosa	#712c15	Teratosphaeriaceae
Elsinoe_australis	#85e2e5	Elsinoaceae
Elsinoe_batatas	#85e2e5	Elsinoaceae
Sphaceloma_murrayae	#85e2e5	Elsinoaceae
Myriangium_duriaei	#b5a9f2	Myriangiaceae
Lepidopterella_palustris	#15016d	Argynnaceae
Lophium_mytilinum	#e20e27	Mytilinidiaceae
Mytilinidion_resinicola	#e20e27	Mytilinidiaceae
Glonium_stellatum	#bd7049	Gloniaceae
Coniosporium_apollinis	#9315d0	nan
Cryomyces_minteri	#9315d0	nan
Peltaster_fructicola	#9315d0	nan
Zopfia_rhizophila	#c434c0	Zopfiaceae
Patellaria_atrata	#661d63	Patellariaceae
Trichodelitschia_bisporula	#041881	Phaeotrichaceae
Amniculicola_lignicola	#2c3377	Amniculicolaceae
Corynespora_cassiicola	#9ca0be	Corynesporascaceae
Cucurbitaria_berberidis	#06ce87	Cucurbitariaceae
Pyrenochaeta_sp._DS3sAY3a	#06ce87	Cucurbitariaceae
Pyrenochaeta_sp._MPI-SDFR-AT-0127	#06ce87	Cucurbitariaceae
Delitschia_confertaspora	#9dc5a1	Delitschiaceae
Clathrospora_elynae	#4b3d32	Diademaceae
Ascochyta_lentis	#1f801c	Didymellaceae
Ascochyta_rabiei	#1f801c	Didymellaceae
Didymella_exigua	#1f801c	Didymellaceae
Didymella_heteroderae	#1f801c	Didymellaceae
Epicoccum_nigrum	#1f801c	Didymellaceae
Bimuria_novae-zelandiae	#7c2c61	Didymosphaeriaceae
Didymosphaeria_enalia	#7c2c61	Didymosphaeriaceae
Karstenula_rhodostoma	#7c2c61	Didymosphaeriaceae
Paraphaeosphaeria_minitans	#7c2c61	Didymosphaeriaceae
Paraphaeosphaeria_sporulosa	#7c2c61	Didymosphaeriaceae
Dothidotthia_symphoricarpi	#0e92ca	Dothidotthiaceae
Lentithecium_fluviatile	#90d84f	Lentitheciaceae
Ampelomyces_quisqualis	#ed459a	Leptosphaeriaceae
Leptosphaeria_maculans	#ed459a	Leptosphaeriaceae
Ophiobolus_disseminans	#ed459a	Leptosphaeriaceae
Plenodomus_tracheiphilus	#ed459a	Leptosphaeriaceae
Clohesyomyces_aquaticus	#cdf978	Lindgomycetaceae
Lophiostoma_macrostomum	#d4c1bb	Lophiostomataceae
Lophiotrema_nucula	#f82564	Lophiotremataceae
Byssothecium_circinans	#40b7de	Massarinaceae
Massarina_eburnea	#40b7de	Massarinaceae
Stagonospora_sp._SRC1lsM3a	#40b7de	Massarinaceae
Melanomma_pulvis-pyrius	#21f745	Melanommataceae
Aaosphaeria_arxii	#9315d0	nan
Massariosphaeria_phaeospora	#9315d0	nan
Periconia_macrospinosa	#8a36c3	Periconiaceae
Paraphoma_chrysanthemicola	#15fe48	Phaeosphaeriaceae
Parastagonospora_nodorum	#15fe48	Phaeosphaeriaceae
Phaeosphaeria_sp._MPI-PUGE-AT-0046c	#15fe48	Phaeosphaeriaceae
Setomelanomma_holmii	#15fe48	Phaeosphaeriaceae
Pleomassaria_siparia	#a5c083	Pleomassariaceae
Alternaria_alternata	#3b7d01	Pleosporaceae
Alternaria_atra	#3b7d01	Pleosporaceae
Alternaria_burnsii	#3b7d01	Pleosporaceae
Alternaria_sp._MG1	#3b7d01	Pleosporaceae
Bipolaris_maydis	#3b7d01	Pleosporaceae
Bipolaris_sorokiniana	#3b7d01	Pleosporaceae
Bipolaris_sorokiniana	#3b7d01	Pleosporaceae
Bipolaris_zeicola	#3b7d01	Pleosporaceae
Curvularia_clavata	#3b7d01	Pleosporaceae
Curvularia_kusanoi	#3b7d01	Pleosporaceae
Decorospora_gaudefroyi	#3b7d01	Pleosporaceae
Exserohilum_turcicum	#3b7d01	Pleosporaceae
Pyrenophora_seminiperda	#3b7d01	Pleosporaceae
Pyrenophora_teres	#3b7d01	Pleosporaceae
Pyrenophora_tritici-repentis	#3b7d01	Pleosporaceae
Pyrenophora_tritici-repentis	#3b7d01	Pleosporaceae
Stemphylium_lycopersici	#3b7d01	Pleosporaceae
Sporormia_fimetaria	#c3f265	Sporormiaceae
Westerdykella_ornata	#c3f265	Sporormiaceae
Polyplosphaeria_fusca	#1fdeba	Tetraplosphaeriaceae
Dendryphion_nanum	#3cc018	Torulaceae
Trematosphaeria_pertusa	#c65870	Trematosphaeriaceae
Viridothelium_virens	#ac9b83	Trypetheliaceae
Tothia_fuscella	#132b65	Cylindrosympodiaceae
Verruconis_gallopava	#1f4d0a	Sympoventuriaceae
Venturia_effusa	#a2b179	Venturiaceae
Venturia_inaequalis	#a2b179	Venturiaceae
Venturia_nashicola	#a2b179	Venturiaceae
Cyphellophora_europaea	#a877a5	Cyphellophoraceae
Capronia_coronata	#369dba	Herpotrichiellaceae
Capronia_epimyces	#369dba	Herpotrichiellaceae
Cladophialophora_carrionii	#369dba	Herpotrichiellaceae
Cladophialophora_immunda	#369dba	Herpotrichiellaceae
Cladophialophora_psammophila	#369dba	Herpotrichiellaceae
Cladophialophora_yegresii	#369dba	Herpotrichiellaceae
Exophiala_aquamarina	#369dba	Herpotrichiellaceae
Exophiala_dermatitidis	#369dba	Herpotrichiellaceae
Exophiala_mesophila	#369dba	Herpotrichiellaceae
Exophiala_oligosperma	#369dba	Herpotrichiellaceae
Exophiala_sideris	#369dba	Herpotrichiellaceae
Exophiala_spinifera	#369dba	Herpotrichiellaceae
Exophiala_xenobiotica	#369dba	Herpotrichiellaceae
Fonsecaea_erecta	#369dba	Herpotrichiellaceae
Fonsecaea_multimorphosa	#369dba	Herpotrichiellaceae
Fonsecaea_pedrosoi	#369dba	Herpotrichiellaceae
Phialophora_attinorum	#369dba	Herpotrichiellaceae
Phialophora_macrospora	#369dba	Herpotrichiellaceae
Rhinocladiella_mackenziei	#369dba	Herpotrichiellaceae
Chaetothyriales_sp._CBS_132003	#9315d0	nan
Chaetothyriales_sp._CBS_134916	#9315d0	nan
Chaetothyriales_sp._CBS_134920	#9315d0	nan
Chaetothyriales_sp._CBS_135597	#9315d0	nan
Aspergillus_aculeatus	#e3088e	Aspergillaceae
Aspergillus_alliaceus	#e3088e	Aspergillaceae
