DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	family
COLOR	#ff0000
DATA
Venturia_inaequalis	#3f90bb	Venturiaceae
Paraphaeosphaeria_sporulosa	#251b24	Didymosphaeriaceae
Alternaria_alternata	#f3f6c8	Pleosporaceae
Aspergillus_oryzae	#153967	Aspergillaceae
Paracoccidioides_brasiliensis	#ed56db	nan
Trichoglossum_hirsutum	#1b9cd7	Geoglossaceae
Letharia_columbiana	#457e49	Parmeliaceae
Botrytis_cinerea	#93cdd4	Sclerotiniaceae
Sclerotinia_sclerotiorum	#93cdd4	Sclerotiniaceae
Orbilia_oligospora	#ff975d	Orbiliaceae
Tuber_borchii	#80dd7e	Tuberaceae
Tuber_melanosporum	#80dd7e	Tuberaceae
Coniochaeta_ligniaria	#2f2250	Coniochaetaceae
Colletotrichum_graminicola	#721c43	Glomerellaceae
Beauveria_bassiana	#d2f74a	Cordycipitaceae
Trichoderma_reesei	#72e443	Hypocreaceae
Fusarium_graminearum	#ec74c3	Nectriaceae
Fusarium_oxysporum	#ec74c3	Nectriaceae
Parascedosporium_putredinis	#151ab6	Microascaceae
Chaetomium_globosum	#99b32f	Chaetomiaceae
Thermothelomyces_thermophilus	#99b32f	Chaetomiaceae
Podospora_anserina	#7bf896	Podosporaceae
Neurospora_crassa	#6705d7	Sordariaceae
Xylaria_hypoxylon	#49aed9	Xylariaceae
Agaricus_bisporus	#10ff7e	Agaricaceae
Amanita_muscaria	#5ad72a	Amanitaceae
Lentinula_edodes	#e38159	Omphalotaceae
Pleurotus_ostreatus	#19b591	Pleurotaceae
Coprinopsis_cinerea	#82bbea	Psathyrellaceae
Schizophyllum_commune	#54570e	Schizophyllaceae
Psilocybe_cubensis	#ab64a3	Strophariaceae
Coniophora_puteana	#ec9a0a	Coniophoraceae
Botryobasidium_botryosum	#d3f2c8	Botryobasidiaceae
Gloeophyllum_trabeum	#771d6c	Gloeophyllaceae
Postia_placenta	#68c387	Dacryobolaceae
Grifola_frondosa	#5a675a	Grifolaceae
Phanerochaete_carnosa	#c5c3b9	Phanerochaetaceae
Trametes_cinnabarina	#7eabe5	Polyporaceae
Heterobasidion_irregulare	#51d4be	Bondarzewiaceae
Ustilago_maydis	#cb3ae9	Ustilaginaceae
Batrachochytrium_dendrobatidis	#ed56db	nan
Rhizophagus_clarus	#9c5864	Glomeraceae
Danio_rerio	#76d2f3	Danionidae
Nothobranchius_furzeri	#7b8f91	Nothobranchiidae
Oryzias_latipes	#38afe9	Adrianichthyidae
Salmo_trutta	#f075cd	Salmonidae
Xenopus_laevis	#ab6168	Pipidae
Gallus_gallus	#faca88	Phasianidae
Columba_livia	#8e49bc	Columbidae
Taeniopygia_guttata	#7cae4e	Estrildidae
Callorhinchus_milii	#c0643d	Callorhinchidae
Anolis_carolinensis	#9850f0	Dactyloidae
Bison_bison	#689e48	Bovidae
Bos_taurus	#689e48	Bovidae
Capra_hircus	#689e48	Bovidae
Sus_scrofa	#6f877a	Suidae
Nyctereutes_procyonoides	#c53fa1	Canidae
Mus_musculus	#342811	Muridae
Homo_sapiens	#564588	Hominidae
Alligator_mississippiensis	#c38b08	Alligatoridae
Chrysemys_picta	#a1285e	Emydidae
Acanthaster_planci	#802dd7	Acanthasteridae
Mytilus_edulis	#fef7d2	Mytilidae
Octopus_vulgaris	#339830	Octopodidae
Lottia_gigantea	#cdcec2	Lottiidae
Enterobius_vermicularis	#476989	Oxyuridae
Caenorhabditis_elegans	#b881f2	Rhabditidae
Necator_americanus	#e61ad6	Ancylostomatidae
Fasciola_gigantica	#f50299	Fasciolidae
Corynebacterium_efficiens	#4cdfd9	Corynebacteriaceae
Rhodococcus_maanshanensis	#6e3ce0	Nocardiaceae
Cellulomonas_flavigena	#3b7ff9	Cellulomonadaceae
Streptomyces_coelicolor	#b43ece	Streptomycetaceae
Flavobacterium_macacae	#38b075	Flavobacteriaceae
Phytophthora_infestans	#c5da30	Peronosporaceae
Pythium_brassicum	#2854ff	Pythiaceae
Agrobacterium_vitis	#c550b7	Rhizobiaceae
Rhizobium_etli	#c550b7	Rhizobiaceae
Sphingomonas_gilva	#cd8329	Sphingomonadaceae
Burkholderia_pseudomallei	#1c7ff2	Burkholderiaceae
Cystobacter_ferrugineus	#43f28b	Archangiaceae
Cellvibrio_polysaccharolyticus	#2935b7	Cellvibrionaceae
Acinetobacter_guillouiae	#1dda0c	Moraxellaceae
Pseudomonas_asplenii	#9eb0be	Pseudomonadaceae
Vibrio_proteolyticus	#950182	Vibrionaceae
Dictyostelium_discoideum	#ffb61e	Dictyosteliaceae
Cucurbita_maxima	#6d3965	Cucurbitaceae
Glycine_max	#ab0b22	Fabaceae
Gossypium_barbadense	#b73fef	Malvaceae
Eucalyptus_grandis	#e9ff9b	Myrtaceae
Oryza_sativa	#b69386	Poaceae
Prunus_armeniaca	#06f2e7	Rosaceae
Citrus_clementina	#67db60	Rutaceae
Solanum_lycopersicum	#f841ec	Solanaceae
Vitis_vinifera	#c8eca0	Vitaceae
