DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	genus-strip
COLOR	#ff0000
DATA
Pseudovirgaria_hyperparasitica	#a2a78e	Pseudovirgaria
Aulographum_hederae	#7a5624	Aulographum
Rhizodiscina_lignyota	#f47e07	Rhizodiscina
Aplosporella_prunicola	#7e140c	Aplosporella
Botryosphaeria_dothidea	#c24a1d	Botryosphaeria
Diplodia_corticola	#2f3a4e	Diplodia
Diplodia_seriata	#2f3a4e	Diplodia
Lasiodiplodia_theobromae	#c85969	Lasiodiplodia
Macrophomina_phaseolina	#a310c5	Macrophomina
Neofusicoccum_parvum	#b03e64	Neofusicoccum
Saccharata_proteae	#4b87a2	Saccharata
Polychaeton_citri	#f4de4e	Polychaeton
Piedraia_hortae	#9763cf	Piedraia
Rachicladosporium_antarcticum	#60a34f	Rachicladosporium
Rachicladosporium_sp._CCFEE_5018	#60a34f	Rachicladosporium
Aureobasidium_melanogenum	#fc8c05	Aureobasidium
Aureobasidium_melanogenum	#fc8c05	Aureobasidium
Aureobasidium_mustum	#fc8c05	Aureobasidium
Aureobasidium_namibiae	#fc8c05	Aureobasidium
Aureobasidium_pullulans	#fc8c05	Aureobasidium
Aureobasidium_subglaciale	#fc8c05	Aureobasidium
Aureobasidium_uvarum	#fc8c05	Aureobasidium
Aureobasidium_vineae	#fc8c05	Aureobasidium
Eremomyces_bilateralis	#2f720c	Eremomyces
Lineolata_rhizophorae	#e46594	Lineolata
Microthyrium_microscopicum	#55448e	Microthyrium
Dissoconium_aciculare	#425cea	Dissoconium
Cercospora_berteroae	#378990	Cercospora
Cercospora_zeae-maydis	#378990	Cercospora
Dothistroma_septosporum	#eebace	Dothistroma
Fulvia_fulva	#e960b0	Fulvia
Pseudocercospora_eumusae	#108376	Pseudocercospora
Pseudocercospora_fijiensis	#108376	Pseudocercospora
Pseudocercospora_fuligena	#108376	Pseudocercospora
Pseudocercospora_musae	#108376	Pseudocercospora
Ramularia_collo-cygni	#b74286	Ramularia
Septoria_linicola	#741356	Septoria
Sphaerulina_musiva	#8a6718	Sphaerulina
Zasmidium_cellare	#925dab	Zasmidium
Zymoseptoria_brevis	#4a49d1	Zymoseptoria
Zymoseptoria_tritici	#4a49d1	Zymoseptoria
Zymoseptoria_tritici	#4a49d1	Zymoseptoria
Acidomyces_sp._'richmondensis'	#51bd2a	Acidomyces
Baudoinia_panamericana	#6f58b6	Baudoinia
