DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	genus
COLOR	#ff0000
DATA
Venturia_inaequalis	#48f2c8	Venturia
Paraphaeosphaeria_sporulosa	#c76e88	Paraphaeosphaeria
Alternaria_alternata	#47885a	Alternaria
Aspergillus_oryzae	#e130d8	Aspergillus
Paracoccidioides_brasiliensis	#8e4b67	Paracoccidioides
Trichoglossum_hirsutum	#198dd2	Trichoglossum
Letharia_columbiana	#be6391	Letharia
Botrytis_cinerea	#801759	Botrytis
Sclerotinia_sclerotiorum	#0c34c6	Sclerotinia
Orbilia_oligospora	#da7e2d	Orbilia
Tuber_borchii	#ecd87d	Tuber
Tuber_melanosporum	#ecd87d	Tuber
Coniochaeta_ligniaria	#6c315d	Coniochaeta
Colletotrichum_graminicola	#65796f	Colletotrichum
Beauveria_bassiana	#29fb08	Beauveria
Trichoderma_reesei	#f13596	Trichoderma
Fusarium_graminearum	#f44b0b	Fusarium
Fusarium_oxysporum	#f44b0b	Fusarium
Parascedosporium_putredinis	#443872	Parascedosporium
Chaetomium_globosum	#8ec918	Chaetomium
Thermothelomyces_thermophilus	#e2663a	Thermothelomyces
Podospora_anserina	#a8761f	Podospora
Neurospora_crassa	#06fd92	Neurospora
Xylaria_hypoxylon	#ca2d41	Xylaria
Agaricus_bisporus	#1fdf2c	Agaricus
Amanita_muscaria	#6e4116	Amanita
Lentinula_edodes	#e47f30	Lentinula
Pleurotus_ostreatus	#f25215	Pleurotus
Coprinopsis_cinerea	#9ba93c	Coprinopsis
Schizophyllum_commune	#12f549	Schizophyllum
Psilocybe_cubensis	#a247c6	Psilocybe
Coniophora_puteana	#90d765	Coniophora
Botryobasidium_botryosum	#cdc965	Botryobasidium
Gloeophyllum_trabeum	#4f6d71	Gloeophyllum
Postia_placenta	#fdefb4	Postia
Grifola_frondosa	#d2661d	Grifola
Phanerochaete_carnosa	#061202	Phanerochaete
Trametes_cinnabarina	#0fa172	Trametes
Heterobasidion_irregulare	#8c4748	Heterobasidion
Ustilago_maydis	#97a43a	Ustilago
Batrachochytrium_dendrobatidis	#af689b	Batrachochytrium
Rhizophagus_clarus	#fa5f19	Rhizophagus
Danio_rerio	#a39421	Danio
Nothobranchius_furzeri	#bdfd4d	Nothobranchius
Oryzias_latipes	#b20cbd	Oryzias
Salmo_trutta	#86fe46	Salmo
Xenopus_laevis	#7aac26	Xenopus
Gallus_gallus	#7fe1cc	Gallus
Columba_livia	#98002a	Columba
Taeniopygia_guttata	#a99935	Taeniopygia
Callorhinchus_milii	#7ec7a5	Callorhinchus
Anolis_carolinensis	#cb8ec6	Anolis
Bison_bison	#5a11cb	Bison
Bos_taurus	#171b48	Bos
Capra_hircus	#a375f8	Capra
Sus_scrofa	#1bc714	Sus
Nyctereutes_procyonoides	#fd5b37	Nyctereutes
Mus_musculus	#17b78a	Mus
Homo_sapiens	#d5f52b	Homo
Alligator_mississippiensis	#de3891	Alligator
Chrysemys_picta	#41861f	Chrysemys
Acanthaster_planci	#728e64	Acanthaster
Mytilus_edulis	#5e9224	Mytilus
Octopus_vulgaris	#a69433	Octopus
Lottia_gigantea	#f94d9f	Lottia
Enterobius_vermicularis	#de24a8	Enterobius
Caenorhabditis_elegans	#c7ccfc	Caenorhabditis
Necator_americanus	#c9c279	Necator
Fasciola_gigantica	#4eca82	Fasciola
Corynebacterium_efficiens	#b554da	Corynebacterium
Rhodococcus_maanshanensis	#61b77b	Rhodococcus
Cellulomonas_flavigena	#1aea68	Cellulomonas
Streptomyces_coelicolor	#64a195	Streptomyces
Flavobacterium_macacae	#66e1a0	Flavobacterium
Phytophthora_infestans	#4c349c	Phytophthora
Pythium_brassicum	#bf51b4	Pythium
Agrobacterium_vitis	#926558	Agrobacterium
Rhizobium_etli	#98be5c	Rhizobium
Sphingomonas_gilva	#5da207	Sphingomonas
Burkholderia_pseudomallei	#9d1496	Burkholderia
Cystobacter_ferrugineus	#9998a4	Cystobacter
Cellvibrio_polysaccharolyticus	#2929f4	Cellvibrio
Acinetobacter_guillouiae	#a38a22	Acinetobacter
Pseudomonas_asplenii	#8d49c2	Pseudomonas
Vibrio_proteolyticus	#033d43	Vibrio
Dictyostelium_discoideum	#155339	Dictyostelium
Cucurbita_maxima	#1a10ee	Cucurbita
Glycine_max	#06093c	Glycine
Gossypium_barbadense	#ce47a3	Gossypium
Eucalyptus_grandis	#d5b7dc	Eucalyptus
Oryza_sativa	#292ec3	Oryza
Prunus_armeniaca	#2340af	Prunus
Citrus_clementina	#3134e4	Citrus
Solanum_lycopersicum	#e3521c	Solanum
Vitis_vinifera	#a708e4	Vitis
Populus_trichocarpa	#726d08	Populus
Physcomitrium_patens	#10a681	Physcomitrium
Chlamydomonas_reinhardtii	#5cc3f0	Chlamydomonas
Calocera_cornea	#028046	Calocera
Acaromyces_ingoldii	#f7ea9d	Acaromyces
Puccinia_striiformis	#131de5	Puccinia
Wallemia_hederae	#aa5cc0	Wallemia
Dissophora_globulifera	#db94b6	Dissophora
Basidiobolus_meristosporus	#5c1c28	Basidiobolus
Dimargaris_cristalligena	#9a62c1	Dimargaris
Conidiobolus_coronatus	#b2968f	Conidiobolus
Coemansia_reversa	#b846ae	Coemansia
