DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	order-strip
COLOR	#ff0000
DATA
Pseudovirgaria_hyperparasitica	#ff91ad	Acrospermales
Aulographum_hederae	#0071fd	Aulographales
Rhizodiscina_lignyota	#0071fd	Aulographales
Aplosporella_prunicola	#29be71	Botryosphaeriales
Botryosphaeria_dothidea	#29be71	Botryosphaeriales
Diplodia_corticola	#29be71	Botryosphaeriales
Diplodia_seriata	#29be71	Botryosphaeriales
Lasiodiplodia_theobromae	#29be71	Botryosphaeriales
Macrophomina_phaseolina	#29be71	Botryosphaeriales
Neofusicoccum_parvum	#29be71	Botryosphaeriales
Saccharata_proteae	#29be71	Botryosphaeriales
Polychaeton_citri	#f58d4b	Capnodiales
Piedraia_hortae	#f58d4b	Capnodiales
Rachicladosporium_antarcticum	#378ee4	Cladosporiales
Rachicladosporium_sp._CCFEE_5018	#378ee4	Cladosporiales
Aureobasidium_melanogenum	#ec386c	Dothideales
Aureobasidium_melanogenum	#ec386c	Dothideales
Aureobasidium_mustum	#ec386c	Dothideales
Aureobasidium_namibiae	#ec386c	Dothideales
Aureobasidium_pullulans	#ec386c	Dothideales
Aureobasidium_subglaciale	#ec386c	Dothideales
Aureobasidium_uvarum	#ec386c	Dothideales
Aureobasidium_vineae	#ec386c	Dothideales
Eremomyces_bilateralis	#8082ba	Eremomycetales
Lineolata_rhizophorae	#6e2ec6	Lineolatales
Microthyrium_microscopicum	#e175fb	Microthyriales
Dissoconium_aciculare	#455bf0	Mycosphaerellales
Cercospora_berteroae	#455bf0	Mycosphaerellales
Cercospora_zeae-maydis	#455bf0	Mycosphaerellales
Dothistroma_septosporum	#455bf0	Mycosphaerellales
Fulvia_fulva	#455bf0	Mycosphaerellales
Pseudocercospora_eumusae	#455bf0	Mycosphaerellales
Pseudocercospora_fijiensis	#455bf0	Mycosphaerellales
Pseudocercospora_fuligena	#455bf0	Mycosphaerellales
Pseudocercospora_musae	#455bf0	Mycosphaerellales
Ramularia_collo-cygni	#455bf0	Mycosphaerellales
Septoria_linicola	#455bf0	Mycosphaerellales
Sphaerulina_musiva	#455bf0	Mycosphaerellales
Zasmidium_cellare	#455bf0	Mycosphaerellales
Zymoseptoria_brevis	#455bf0	Mycosphaerellales
Zymoseptoria_tritici	#455bf0	Mycosphaerellales
Zymoseptoria_tritici	#455bf0	Mycosphaerellales
Acidomyces_sp._'richmondensis'	#455bf0	Mycosphaerellales
Baudoinia_panamericana	#455bf0	Mycosphaerellales
Friedmanniomyces_endolithicus	#455bf0	Mycosphaerellales
Friedmanniomyces_simplex	#455bf0	Mycosphaerellales
Hortaea_werneckii	#455bf0	Mycosphaerellales
Hortaea_werneckii	#455bf0	Mycosphaerellales
Neohortaea_acidophila	#455bf0	Mycosphaerellales
Salinomyces_thailandica	#455bf0	Mycosphaerellales
Teratosphaeria_nubilosa	#455bf0	Mycosphaerellales
Elsinoe_australis	#4d356a	Myriangiales
Elsinoe_batatas	#4d356a	Myriangiales
Sphaceloma_murrayae	#4d356a	Myriangiales
Myriangium_duriaei	#4d356a	Myriangiales
Lepidopterella_palustris	#61e7c1	Mytilinidiales
Lophium_mytilinum	#61e7c1	Mytilinidiales
Mytilinidion_resinicola	#61e7c1	Mytilinidiales
Glonium_stellatum	#9c00a8	nan
Coniosporium_apollinis	#9c00a8	nan
Cryomyces_minteri	#9c00a8	nan
Peltaster_fructicola	#9c00a8	nan
Zopfia_rhizophila	#9c00a8	nan
Patellaria_atrata	#294975	Patellariales
Trichodelitschia_bisporula	#ac5b08	Phaeotrichales
Amniculicola_lignicola	#28da68	Pleosporales
Corynespora_cassiicola	#28da68	Pleosporales
Cucurbitaria_berberidis	#28da68	Pleosporales
Pyrenochaeta_sp._DS3sAY3a	#28da68	Pleosporales
Pyrenochaeta_sp._MPI-SDFR-AT-0127	#28da68	Pleosporales
Delitschia_confertaspora	#28da68	Pleosporales
Clathrospora_elynae	#28da68	Pleosporales
Ascochyta_lentis	#28da68	Pleosporales
Ascochyta_rabiei	#28da68	Pleosporales
Didymella_exigua	#28da68	Pleosporales
Didymella_heteroderae	#28da68	Pleosporales
Epicoccum_nigrum	#28da68	Pleosporales
Bimuria_novae-zelandiae	#28da68	Pleosporales
Didymosphaeria_enalia	#28da68	Pleosporales
Karstenula_rhodostoma	#28da68	Pleosporales
Paraphaeosphaeria_minitans	#28da68	Pleosporales
Paraphaeosphaeria_sporulosa	#28da68	Pleosporales
Dothidotthia_symphoricarpi	#28da68	Pleosporales
Lentithecium_fluviatile	#28da68	Pleosporales
Ampelomyces_quisqualis	#28da68	Pleosporales
Leptosphaeria_maculans	#28da68	Pleosporales
Ophiobolus_disseminans	#28da68	Pleosporales
Plenodomus_tracheiphilus	#28da68	Pleosporales
Clohesyomyces_aquaticus	#28da68	Pleosporales
Lophiostoma_macrostomum	#28da68	Pleosporales
Lophiotrema_nucula	#28da68	Pleosporales
Byssothecium_circinans	#28da68	Pleosporales
Massarina_eburnea	#28da68	Pleosporales
Stagonospora_sp._SRC1lsM3a	#28da68	Pleosporales
Melanomma_pulvis-pyrius	#28da68	Pleosporales
Aaosphaeria_arxii	#28da68	Pleosporales
Massariosphaeria_phaeospora	#28da68	Pleosporales
Periconia_macrospinosa	#28da68	Pleosporales
Paraphoma_chrysanthemicola	#28da68	Pleosporales
Parastagonospora_nodorum	#28da68	Pleosporales
Phaeosphaeria_sp._MPI-PUGE-AT-0046c	#28da68	Pleosporales
Setomelanomma_holmii	#28da68	Pleosporales
Pleomassaria_siparia	#28da68	Pleosporales
Alternaria_alternata	#28da68	Pleosporales
Alternaria_atra	#28da68	Pleosporales
Alternaria_burnsii	#28da68	Pleosporales
Alternaria_sp._MG1	#28da68	Pleosporales
Bipolaris_maydis	#28da68	Pleosporales
Bipolaris_sorokiniana	#28da68	Pleosporales
Bipolaris_sorokiniana	#28da68	Pleosporales
Bipolaris_zeicola	#28da68	Pleosporales
Curvularia_clavata	#28da68	Pleosporales
Curvularia_kusanoi	#28da68	Pleosporales
Decorospora_gaudefroyi	#28da68	Pleosporales
