DATASET_TEXT
SEPARATOR COMMA
DATASET_LABEL,order-text
COLOR,#000000
DATA
Pseudovirgaria_hyperparasitica,Acrospermales,-1,#2436d4,bold,1,0
Aulographum_hederae,Aulographales,-1,#caedc1,bold,1,0
Rhizodiscina_lignyota,Aulographales,-1,#caedc1,bold,1,0
Aplosporella_prunicola,Botryosphaeriales,-1,#2731ee,bold,1,0
Botryosphaeria_dothidea,Botryosphaeriales,-1,#2731ee,bold,1,0
Diplodia_corticola,Botryosphaeriales,-1,#2731ee,bold,1,0
Diplodia_seriata,Botryosphaeriales,-1,#2731ee,bold,1,0
Lasiodiplodia_theobromae,Botryosphaeriales,-1,#2731ee,bold,1,0
Macrophomina_phaseolina,Botryosphaeriales,-1,#2731ee,bold,1,0
Neofusicoccum_parvum,Botryosphaeriales,-1,#2731ee,bold,1,0
Saccharata_proteae,Botryosphaeriales,-1,#2731ee,bold,1,0
Polychaeton_citri,Capnodiales,-1,#03fc7b,bold,1,0
Piedraia_hortae,Capnodiales,-1,#03fc7b,bold,1,0
Rachicladosporium_antarcticum,Cladosporiales,-1,#5e99c6,bold,1,0
Rachicladosporium_sp._CCFEE_5018,Cladosporiales,-1,#5e99c6,bold,1,0
Aureobasidium_melanogenum,Dothideales,-1,#bf91f7,bold,1,0
Aureobasidium_melanogenum,Dothideales,-1,#bf91f7,bold,1,0
Aureobasidium_mustum,Dothideales,-1,#bf91f7,bold,1,0
Aureobasidium_namibiae,Dothideales,-1,#bf91f7,bold,1,0
Aureobasidium_pullulans,Dothideales,-1,#bf91f7,bold,1,0
Aureobasidium_subglaciale,Dothideales,-1,#bf91f7,bold,1,0
Aureobasidium_uvarum,Dothideales,-1,#bf91f7,bold,1,0
Aureobasidium_vineae,Dothideales,-1,#bf91f7,bold,1,0
Eremomyces_bilateralis,Eremomycetales,-1,#468b13,bold,1,0
Lineolata_rhizophorae,Lineolatales,-1,#d7aa7b,bold,1,0
Microthyrium_microscopicum,Microthyriales,-1,#251a9a,bold,1,0
Dissoconium_aciculare,Mycosphaerellales,-1,#896d77,bold,1,0
Cercospora_berteroae,Mycosphaerellales,-1,#896d77,bold,1,0
Cercospora_zeae-maydis,Mycosphaerellales,-1,#896d77,bold,1,0
Dothistroma_septosporum,Mycosphaerellales,-1,#896d77,bold,1,0
Fulvia_fulva,Mycosphaerellales,-1,#896d77,bold,1,0
Pseudocercospora_eumusae,Mycosphaerellales,-1,#896d77,bold,1,0
Pseudocercospora_fijiensis,Mycosphaerellales,-1,#896d77,bold,1,0
Pseudocercospora_fuligena,Mycosphaerellales,-1,#896d77,bold,1,0
Pseudocercospora_musae,Mycosphaerellales,-1,#896d77,bold,1,0
Ramularia_collo-cygni,Mycosphaerellales,-1,#896d77,bold,1,0
Septoria_linicola,Mycosphaerellales,-1,#896d77,bold,1,0
Sphaerulina_musiva,Mycosphaerellales,-1,#896d77,bold,1,0
Zasmidium_cellare,Mycosphaerellales,-1,#896d77,bold,1,0
Zymoseptoria_brevis,Mycosphaerellales,-1,#896d77,bold,1,0
Zymoseptoria_tritici,Mycosphaerellales,-1,#896d77,bold,1,0
Zymoseptoria_tritici,Mycosphaerellales,-1,#896d77,bold,1,0
Acidomyces_sp._'richmondensis',Mycosphaerellales,-1,#896d77,bold,1,0
Baudoinia_panamericana,Mycosphaerellales,-1,#896d77,bold,1,0
Friedmanniomyces_endolithicus,Mycosphaerellales,-1,#896d77,bold,1,0
Friedmanniomyces_simplex,Mycosphaerellales,-1,#896d77,bold,1,0
Hortaea_werneckii,Mycosphaerellales,-1,#896d77,bold,1,0
Hortaea_werneckii,Mycosphaerellales,-1,#896d77,bold,1,0
Neohortaea_acidophila,Mycosphaerellales,-1,#896d77,bold,1,0
Salinomyces_thailandica,Mycosphaerellales,-1,#896d77,bold,1,0
Teratosphaeria_nubilosa,Mycosphaerellales,-1,#896d77,bold,1,0
Elsinoe_australis,Myriangiales,-1,#db2aeb,bold,1,0
Elsinoe_batatas,Myriangiales,-1,#db2aeb,bold,1,0
Sphaceloma_murrayae,Myriangiales,-1,#db2aeb,bold,1,0
Myriangium_duriaei,Myriangiales,-1,#db2aeb,bold,1,0
Lepidopterella_palustris,Mytilinidiales,-1,#f2c405,bold,1,0
Lophium_mytilinum,Mytilinidiales,-1,#f2c405,bold,1,0
Mytilinidion_resinicola,Mytilinidiales,-1,#f2c405,bold,1,0
Glonium_stellatum,nan,-1,#72e330,bold,1,0
Coniosporium_apollinis,nan,-1,#72e330,bold,1,0
Cryomyces_minteri,nan,-1,#72e330,bold,1,0
Peltaster_fructicola,nan,-1,#72e330,bold,1,0
Zopfia_rhizophila,nan,-1,#72e330,bold,1,0
Patellaria_atrata,Patellariales,-1,#8b1128,bold,1,0
Trichodelitschia_bisporula,Phaeotrichales,-1,#ec0657,bold,1,0
Amniculicola_lignicola,Pleosporales,-1,#469dce,bold,1,0
Corynespora_cassiicola,Pleosporales,-1,#469dce,bold,1,0
Cucurbitaria_berberidis,Pleosporales,-1,#469dce,bold,1,0
Pyrenochaeta_sp._DS3sAY3a,Pleosporales,-1,#469dce,bold,1,0
Pyrenochaeta_sp._MPI-SDFR-AT-0127,Pleosporales,-1,#469dce,bold,1,0
Delitschia_confertaspora,Pleosporales,-1,#469dce,bold,1,0
Clathrospora_elynae,Pleosporales,-1,#469dce,bold,1,0
Ascochyta_lentis,Pleosporales,-1,#469dce,bold,1,0
Ascochyta_rabiei,Pleosporales,-1,#469dce,bold,1,0
Didymella_exigua,Pleosporales,-1,#469dce,bold,1,0
Didymella_heteroderae,Pleosporales,-1,#469dce,bold,1,0
Epicoccum_nigrum,Pleosporales,-1,#469dce,bold,1,0
Bimuria_novae-zelandiae,Pleosporales,-1,#469dce,bold,1,0
Didymosphaeria_enalia,Pleosporales,-1,#469dce,bold,1,0
Karstenula_rhodostoma,Pleosporales,-1,#469dce,bold,1,0
Paraphaeosphaeria_minitans,Pleosporales,-1,#469dce,bold,1,0
Paraphaeosphaeria_sporulosa,Pleosporales,-1,#469dce,bold,1,0
Dothidotthia_symphoricarpi,Pleosporales,-1,#469dce,bold,1,0
Lentithecium_fluviatile,Pleosporales,-1,#469dce,bold,1,0
Ampelomyces_quisqualis,Pleosporales,-1,#469dce,bold,1,0
Leptosphaeria_maculans,Pleosporales,-1,#469dce,bold,1,0
Ophiobolus_disseminans,Pleosporales,-1,#469dce,bold,1,0
Plenodomus_tracheiphilus,Pleosporales,-1,#469dce,bold,1,0
Clohesyomyces_aquaticus,Pleosporales,-1,#469dce,bold,1,0
Lophiostoma_macrostomum,Pleosporales,-1,#469dce,bold,1,0
Lophiotrema_nucula,Pleosporales,-1,#469dce,bold,1,0
Byssothecium_circinans,Pleosporales,-1,#469dce,bold,1,0
Massarina_eburnea,Pleosporales,-1,#469dce,bold,1,0
Stagonospora_sp._SRC1lsM3a,Pleosporales,-1,#469dce,bold,1,0
Melanomma_pulvis-pyrius,Pleosporales,-1,#469dce,bold,1,0
Aaosphaeria_arxii,Pleosporales,-1,#469dce,bold,1,0
Massariosphaeria_phaeospora,Pleosporales,-1,#469dce,bold,1,0
Periconia_macrospinosa,Pleosporales,-1,#469dce,bold,1,0
Paraphoma_chrysanthemicola,Pleosporales,-1,#469dce,bold,1,0
Parastagonospora_nodorum,Pleosporales,-1,#469dce,bold,1,0
Phaeosphaeria_sp._MPI-PUGE-AT-0046c,Pleosporales,-1,#469dce,bold,1,0
Setomelanomma_holmii,Pleosporales,-1,#469dce,bold,1,0
Pleomassaria_siparia,Pleosporales,-1,#469dce,bold,1,0
Alternaria_alternata,Pleosporales,-1,#469dce,bold,1,0
Alternaria_atra,Pleosporales,-1,#469dce,bold,1,0
Alternaria_burnsii,Pleosporales,-1,#469dce,bold,1,0
Alternaria_sp._MG1,Pleosporales,-1,#469dce,bold,1,0
Bipolaris_maydis,Pleosporales,-1,#469dce,bold,1,0
Bipolaris_sorokiniana,Pleosporales,-1,#469dce,bold,1,0
Bipolaris_sorokiniana,Pleosporales,-1,#469dce,bold,1,0
Bipolaris_zeicola,Pleosporales,-1,#469dce,bold,1,0
Curvularia_clavata,Pleosporales,-1,#469dce,bold,1,0
Curvularia_kusanoi,Pleosporales,-1,#469dce,bold,1,0
Decorospora_gaudefroyi,Pleosporales,-1,#469dce,bold,1,0
Exserohilum_turcicum,Pleosporales,-1,#469dce,bold,1,0
Pyrenophora_seminiperda,Pleosporales,-1,#469dce,bold,1,0
Pyrenophora_teres,Pleosporales,-1,#469dce,bold,1,0
Pyrenophora_tritici-repentis,Pleosporales,-1,#469dce,bold,1,0
Pyrenophora_tritici-repentis,Pleosporales,-1,#469dce,bold,1,0
Stemphylium_lycopersici,Pleosporales,-1,#469dce,bold,1,0
Sporormia_fimetaria,Pleosporales,-1,#469dce,bold,1,0
Westerdykella_ornata,Pleosporales,-1,#469dce,bold,1,0
Polyplosphaeria_fusca,Pleosporales,-1,#469dce,bold,1,0
Dendryphion_nanum,Pleosporales,-1,#469dce,bold,1,0
Trematosphaeria_pertusa,Pleosporales,-1,#469dce,bold,1,0
Viridothelium_virens,Trypetheliales,-1,#6ccdaf,bold,1,0
Tothia_fuscella,Venturiales,-1,#9f8352,bold,1,0
Verruconis_gallopava,Venturiales,-1,#9f8352,bold,1,0
Venturia_effusa,Venturiales,-1,#9f8352,bold,1,0
Venturia_inaequalis,Venturiales,-1,#9f8352,bold,1,0
Venturia_nashicola,Venturiales,-1,#9f8352,bold,1,0
Cyphellophora_europaea,Chaetothyriales,-1,#78ea83,bold,1,0
