DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	order
COLOR	#ff0000
DATA
Venturia_inaequalis	#fab88a	Venturiales
Paraphaeosphaeria_sporulosa	#4acb8d	Pleosporales
Alternaria_alternata	#4acb8d	Pleosporales
Aspergillus_oryzae	#6eab6e	Eurotiales
Paracoccidioides_brasiliensis	#bb3dd1	Onygenales
Trichoglossum_hirsutum	#5719a3	Geoglossales
Letharia_columbiana	#5c2c34	Lecanorales
Botrytis_cinerea	#37b4fe	Helotiales
Sclerotinia_sclerotiorum	#37b4fe	Helotiales
Orbilia_oligospora	#b28b9c	Orbiliales
Tuber_borchii	#b1e99e	Pezizales
Tuber_melanosporum	#b1e99e	Pezizales
Coniochaeta_ligniaria	#b6c920	Coniochaetales
Colletotrichum_graminicola	#bed524	Glomerellales
Beauveria_bassiana	#4584cc	Hypocreales
Trichoderma_reesei	#4584cc	Hypocreales
Fusarium_graminearum	#4584cc	Hypocreales
Fusarium_oxysporum	#4584cc	Hypocreales
Parascedosporium_putredinis	#4b570d	Microascales
Chaetomium_globosum	#3f874a	Sordariales
Thermothelomyces_thermophilus	#3f874a	Sordariales
Podospora_anserina	#3f874a	Sordariales
Neurospora_crassa	#3f874a	Sordariales
Xylaria_hypoxylon	#54b362	Xylariales
Agaricus_bisporus	#f410fb	Agaricales
Amanita_muscaria	#f410fb	Agaricales
Lentinula_edodes	#f410fb	Agaricales
Pleurotus_ostreatus	#f410fb	Agaricales
Coprinopsis_cinerea	#f410fb	Agaricales
Schizophyllum_commune	#f410fb	Agaricales
Psilocybe_cubensis	#f410fb	Agaricales
Coniophora_puteana	#45e7e6	Boletales
Botryobasidium_botryosum	#abca5b	Cantharellales
Gloeophyllum_trabeum	#a196e6	Gloeophyllales
Postia_placenta	#a25ff9	Polyporales
Grifola_frondosa	#a25ff9	Polyporales
Phanerochaete_carnosa	#a25ff9	Polyporales
Trametes_cinnabarina	#a25ff9	Polyporales
Heterobasidion_irregulare	#1dd78d	Russulales
Ustilago_maydis	#384106	Ustilaginales
Batrachochytrium_dendrobatidis	#b6af41	Rhizophydiales
Rhizophagus_clarus	#5b611f	Glomerales
Danio_rerio	#64a500	Cypriniformes
Nothobranchius_furzeri	#7859cf	Cyprinodontiformes
Oryzias_latipes	#e4b628	Beloniformes
Salmo_trutta	#a85045	Salmoniformes
Xenopus_laevis	#eb57be	Anura
Gallus_gallus	#4e5eb9	Galliformes
Columba_livia	#bcd371	Columbiformes
Taeniopygia_guttata	#786de7	Passeriformes
Callorhinchus_milii	#6852a8	Chimaeriformes
Anolis_carolinensis	#c7aa18	Squamata
Bison_bison	#a9b95e	Artiodactyla
