Accession   Position
A0A060S6S8	55-299
A0A067N7R8	71-281
A0A067NVB7	37-227
A0A067NXD0	85-297
A0A090CH20	72-258
A0A090CL68	117-348
A0A090CMR9	51-284
A0A090CWC0	59-377
A0A090D4S5	70-283
A0A098E091	104-329
A0A0A2J1X4	84-310
A0A0A2JBW7	67-351
A0A0A2JEJ9	129-361
A0A0A2JPW5	88-301
A0A0A2JVP7	64-258
A0A0E0RYC2	67-265
A0A0E0S8J8	66-245
A0A1C3YLW6	75-313
A0A1X6N7P5	54-306
A0A2G8RMK1	58-305
A0A2G8RML5	78-323
A0A2G8SRB1	82-297
A0A9P1H0N5	108-321
A0A9P1H4K9	23-206
A0A9P1H547	460-628
A0A9P1H6D2	51-268
A0A9P1H7B8	23-174
A0A9P1H8G6	104-290
A0A9P1M7K0	282-492
A0A9P1ME48	116-349
A2Q9V3	115-347
A2QFP6	96-324
A2QTR2	83-306
A2QUC2	108-336
A2QYL5	42-331
A2R6E6	89-282
A2RBK8	221-378
A8MZV5	65-287
A8MZX9	63-288
A8N3D8	109-320
A8N3K9	109-323
A8N3S0	91-307
A8N4B1	129-348
A8N4B2	128-347
A8N4N8	79-300
A8N4N9	80-288
A8N991	199-371
A8NBL1	92-324
A8NDI8	80-332
A8NKU3	77-283
A8NL26	83-321
A8NQE7	81-314
A8NSL2	65-339
A8P1K6	83-297
A8P1Q9	58-279
B2A910	152-403
B2AB03	58-316
B2ALA7	74-282
B2AM93	230-393
B2ANC0	68-250
B2AP35	96-294
B2API2	102-279
B2ARH2	97-333
B2ATH2	93-307
B2AU58	59-359
B2B1L7	163-391
B2B2Q9	81-310
D6RL64	50-298
G0RC29	73-312
G0RRF5	90-345
G2Q3M6	93-344
G2Q526	92-319
G2Q551	35-224
G2QC95	111-343
G2QGH3	112-336
G2QH67	92-276
G2QIM7	113-293
G2QJJ3	89-310
G2QLD3	120-351
G2QVS9	40-238
G2QVY2	103-329
G2R003	77-319
G2R0R5	111-346
G2R639	117-284
G2R6U9	117-352
G2RCR3	56-314
G2RFH3	90-347
G2RG43	62-253
I1REA5	104-337
I1RHT4	105-332
I1RIA1	70-280
I1RJ03	67-285
I1RKU0	74-275
I1RLQ5	74-349
I1RNP4	87-346
I1S2V3	61-257
I1S3N0	37-313
I1S3X8	106-332
K5UXV0	54-302
K5VYQ3	54-302
Q2GNG2	62-274
Q2GQ28	101-316
Q2GQI5	103-338
Q2GYT0	27-207
Q2GZJ4	105-326
Q2H2F5	109-340
Q2H5C8	79-306
Q2H5H1	121-345
Q2H7D7	63-378
Q2H7I7	111-343
Q2H8J8	64-259
Q2HCB5	547-728
Q2HEC0	92-342
Q2HF52	73-287
Q4WFT7	96-324
Q8J130	60-371
A0A060SLI6	82-177
A0A067NHK1	87-156
A0A9P1GXA4	64-112
A0A9P1GXA4	205-228
A0A9P1GXI3	136-162
A0A9P1GXY6	124-240
A0A9P1GYI6	79-236
A0A9P1GZG9	660-824
A0A9P1H568	7-72
A0A9P1HA81	74-160
A0A9P1HA81	168-215
A0A9P1HAC4	69-190
A0A9P1HC93	148-299
A0A9P1MCA4	129-207
A0A9P1MEH7	18-60
A0A9P1MEH7	79-178
A8NDK0	27-158
A8NDK0	217-235
G0RFJ8	146-361
G2QND8	179-208
G2QRA5	86-299
I1S6D3	161-376
Q2GSG2	81-295
Q2GUA5	953-998
Q2HHU1	113-246
Q4WQR9	64-94
