DATASET_DOMAINS
SEPARATOR COMMA
DATASET_LABEL,Domains
COLOR,#ff0000
DATA
A0A010Q293,343
A0A010Q4B9,404
A0A010QAA5,403
A0A010QHN9,399
A0A010QIY5,415
A0A010QL93,324
A0A010QPL7,361
A0A010QXZ0,368
A0A010QYY8,363
A0A010R234,623
A0A010R9A2,409
A0A010RBA2,549
A0A010RL70,415
A0A010RM53,338
A0A010RPY0,383
A0A010RQ21,392
A0A010RR72,596
A0A010RUM6,516
A0A010RV53,488
A0A010RV80,353
A0A010RY59,764
A0A010RYF3,750
A0A010S1R5,684
A0A010S630,1808
A0A010S6Q2,380
A0A010SFQ0,348
A0A010SKU6,529
A0A010SMB4,330
A0A010SNL7,410
A0A014N831,391
A0A014P1F1,378
A0A014P933,638
A0A014PGS4,315
A0A014PNW6,618
A0A014QX88,382
A0A015J8T7,156
A0A017S513,586
A0A017SD63,385
A0A017SF68,622
A0A022WGP6,634
A0A022Y7J2,634
A0A024S4X8,623
A0A024SD58,590
A0A024SJR1,561
A0A059EKV3,311
A0A059F260,317
A0A059JJQ6,625
A0A060S6S8,573
A0A060SLI6,273
A0A061HFI6,619
A0A061HSG6,584
A0A063BRM1,594
A0A066UUQ3,206
A0A066UVL3,719
A0A066UWM2,168
A0A066UZ70,375
A0A066V4T8,156
A0A066V7K0,228
A0A066V7Y1,145
A0A066V9L9,395
A0A066VAV1,737
A0A066VBK5,317
A0A066VC10,117
A0A066VCC5,380
A0A066VFQ9,346
A0A066VGF8,352
A0A066VIC0,185
A0A066VJ14,312
A0A066VKT9,269
A0A066VWF6,121
A0A066VY28,140
A0A066W0T2,356
A0A066W295,226
A0A066W7C5,369
A0A066WLX5,325
A0A066WMU7,196
A0A066WXF3,529
A0A066X3Q1,370
A0A066X6L4,330
A0A066X7V3,682
A0A066X846,380
A0A066X9U3,761
A0A066XLM3,414
A0A066XQD0,410
A0A066XSE1,488
A0A066XSY6,717
A0A066XW40,639
A0A066XWR5,373
A0A066XZ78,380
A0A066Y1D2,393
A0A066Y1V3,555
A0A067MC03,361,HH|92|297|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A067MC09,354
A0A067ME78,545,HH|55|270|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|378|488|#f2b365|PF18132_Tyosinase C-terminal domain
A0A067MJR9,675
A0A067MN37,63
A0A067MSX0,403,HH|118|331|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A067N7R8,337
A0A067NHK1,223
A0A067NVB7,291
A0A067NXD0,367
A0A067PHP8,702
A0A067PPZ9,564
A0A067PSS3,658
A0A067S9C3,369
A0A067T9P6,333
A0A067TCE7,354
A0A067TKM5,624
A0A072P207,409
A0A072P5W0,375
A0A072P8W8,377
A0A072PBX4,1058,HH|607|829|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A072PCR1,409
A0A072PH66,402
A0A072PJG5,363
A0A072PV79,244
A0A072Q6Y5,251
A0A074RCL1,320
A0A074RG36,150
A0A074RJD3,318
A0A074RK37,334
A0A074RKY4,310
A0A074RLS0,322
A0A074RRF8,773,HH|88|402|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A074RSM2,320
A0A074RSY5,457
A0A074RTB9,353
A0A074RWE6,395
A0A074RXC0,348
A0A074RXE5,679
A0A074RXR6,354
A0A074RYB7,364
A0A074S0H8,317
A0A074S2B5,318
A0A074S7C5,381
A0A074S7W9,350
A0A074S897,345
A0A074S9M8,305
A0A074SA15,350
A0A074SDG0,342
A0A074SDL0,124
A0A074SFZ9,356
A0A074SK72,618
A0A074SK81,281
A0A074SUA9,304
A0A074VDT7,389
A0A074VGZ0,404
A0A074VI76,322
A0A074VIF5,670
A0A074W682,344
A0A074W6F3,321
A0A074WGJ9,689
A0A074WJS2,390
A0A074WWD6,404
A0A074X475,327
A0A074XC75,774
A0A074XNA1,382
A0A074XND5,322
A0A074XR97,392
A0A074XWE1,390
A0A074Y1Q9,327
A0A074YH07,377
A0A074YPA7,782
A0A074YPF6,390
A0A074YQS1,321
A0A075AU36,200
A0A075AX41,530,HH|31|203|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A075AYG4,372,HH|62|236|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A075AZW6,294,HH|1|155|#b2b1b3|PF00264_Common central domain of tyrosinase
A0A075B1D3,611,HH|13|194|#b2b1b3|PF00264_Common central domain of tyrosinase,HH|319|482|#0fabd8|PF04055_Radical SAM superfamily
A0A077QRG5,220
A0A077R9S7,762
A0A081CKB9,648
A0A084AF08,390
A0A084AJL7,389
A0A084AR48,404
A0A084AV30,556
A0A084AYI1,637
A0A084B2K4,338
A0A084B4D9,384
A0A084B663,352
A0A084B7G3,353
A0A084B8J4,876
A0A084BB06,325
A0A084FV28,411
A0A084FV70,792
