A0A060SLI6,82-177
A0A067NHK1,87-156
A0A074XND5,151-209
A0A084G7S9,99-232
A0A0B7FMY1,47-115
A0A0B7FR21,1-158
A0A0B7FSE1,90-260
A0A0C3FFN2,2-189
A0A0C3FV27,40-167
A0A0C3FYC9,83-116
A0A0C9ZMD3,33-226
A0A0D1CHR5,496-694
A0A0D1E6L1,110-301
A0A0F9WDC2,44-102
A0A0F9WDC2,123-200
A0A137NQ04,16-120
A0A137NW82,5-94
A0A137NZ11,3-33
A0A137P2W7,6-62
A0A137P4I0,1-53
A0A137P4Q5,48-126
A0A137P4T8,45-97
A0A137P785,25-136
A0A137PAH5,9-81
A0A137PAH5,119-176
A0A137PB18,59-120
A0A137PC54,24-114
A0A137PJ02,3-144
A0A164PTJ8,60-196
A0A164RBU0,87-219
A0A165DII7,5-99
A0A165JT10,5-99
A0A177DYQ6,12-91
A0A177T775,13-75
A0A194UMR4,8-57
A0A1C7LM26,59-214
A0A1C7LRX6,1-28
A0A1C7LW21,770-986
A0A1X7S8T9,106-184
A0A1X7S8X8,12-114
A0A1Y1XVN2,4-45
A0A1Y1Y3L9,53-101
A0A1Y1YF00,58-111
A0A1Y1Z2B1,490-599
A0A1Y1Z5B8,63-216
A0A1Y1Z6J4,28-202
A0A2G5BD05,41-129
A0A2I1GI48,45-79
A0A316YEU0,185-357
A0A316YS64,103-388
A0A4Z0Z7P2,15-159
A0A4Z0ZC48,80-205
A0A6A6HBJ0,20-219
A0A6P8BJE5,126-279
A0A8H3F360,36-204
A0A8H3F9S2,1-215
A0A8H3G4B9,101-166
A0A8H3IL14,327-547
A0A8H3IS69,842-1063
A0A8H3UQ31,29-157
A0A8H3V027,8-78
A0A8H3V027,84-115
A0A8H4EHU7,26-170
A0A8H4EHU7,188-241
A0A8H4ET05,101-286
A0A8J5NKZ0,157-372
A0A8J5NNM5,450-527
A0A8J5PGS7,1-29
A0A8J5PIC9,72-239
A0A8T8SKG8,3-42
A0A8T8SNL8,125-242
A0A8T8SPE3,172-230
A0A9P4IEM6,64-341
A0A9P4VWI8,1-29
A0A9P8HZ59,74-340
A8NDK0,27-158
A8NDK0,217-235
E3KN59,75-262
E3L5F6,165-333
F4NWE6,67-238
G0RFJ8,146-361
G2QND8,179-208
G2QRA5,86-299
G4TZS5,108-207
G4U242,10-88
I1S6D3,161-376
K2S7W3,72-168
K2S7W3,183-207
K2S8A5,23-147
L8FTG9,105-129
Q2GSG2,81-295
Q2GUA5,953-998
Q2HHU1,113-246
Q4WQR9,64-94
S7RR67,163-292
