Accession   Position
A0A024GPM3	55-258
A0A024GU68	591-794
A0A067BTT5	64-271
A0A067BX73	58-265
A0A067C173	819-1045
A0A067C5L8	48-245
A0A067C631	58-265
A0A067CPX4	49-254
A0A067CXC8	196-398
A0A067D814	368-570
A0A068NQY3	65-324
A0A078AII6	45-322
A0A078ARQ6	10-245
A0A0A0MTD3	18-203
A0A0G4IPB5	95-253
A0A0G4IUB1	151-327
A0A0G4J7H3	64-226
A0A0L0GEJ5	73-334
A0A0L0RZ18	213-470
A0A0L0S5H6	68-238
A0A0L0S6J0	147-314
A0A0L0S771	213-470
A0A0L0SHB1	63-236
A0A0L0SNS0	77-272
A0A0L0SY24	146-313
A0A0L0T1I9	64-232
A0A0L0T297	101-270
A0A0L0T3A5	88-257
A0A0L0T3E0	64-232
A0A0L0T7W0	63-236
A0A0L0TFC6	60-224
A0A0L0VSP3	160-351
A0A0L0VSW2	100-292
A0A0L0W3I3	78-262
A0A0L0W3Q3	244-433
A0A0L0W3R9	165-371
A0A0L0W4D9	98-286
A0A137NPV3	42-221
A0A137NPX8	39-218
A0A137NQ81	42-226
A0A137NQN3	56-238
A0A137NUB7	4-176
A0A137NY78	55-238
A0A137NYB7	36-215
A0A137NZ43	52-240
A0A137P2U0	64-237
A0A137P2U9	191-368
A0A137P2V9	63-237
A0A137P353	39-217
A0A137P4I7	58-237
A0A137P4K7	55-232
A0A137P4L3	55-233
A0A137P4M5	61-239
A0A137P649	58-238
A0A137P667	58-240
A0A137P762	42-228
A0A137P7E0	43-228
A0A137P7Q8	31-209
A0A137P8T8	63-241
A0A137PAT2	41-229
A0A137PAW4	64-253
A0A137PC40	58-237
A0A137PC55	9-190
A0A137PC66	59-239
A0A137PC75	56-237
A0A137PC76	58-239
A0A137PDD6	56-234
A0A137PEX6	59-241
A0A137PEX7	22-205
A0A137PFI2	65-239
A0A137PGY5	56-237
A0A137PJ00	2-176
A0A137PJ55	7-187
A0A143PNK1	46-249
A0A151MVL6	171-402
A0A151NRJ9	152-379
A0A151NSM3	174-401
A0A151P161	105-337
A0A165HIH0	175-389
A0A165J5C9	57-346
A0A176VDF6	154-393
A0A176VEH7	92-325
A0A176VEY3	109-337
A0A176VIK0	174-395
A0A176VKC3	146-353
A0A176VQY9	159-390
A0A176VS61	115-336
A0A176VZ75	127-354
A0A176W193	135-369
A0A176W503	181-409
A0A176W6H1	163-402
A0A176W8I4	210-428
A0A176WB99	275-498
A0A176WCD1	193-432
A0A176WCF4	196-416
A0A176WCM7	171-410
A0A176WD67	223-462
A0A176WEU2	103-318
A0A176WFY1	109-311
A0A176WGP9	163-392
A0A176WHM5	227-466
A0A176WIF4	195-413
A0A176WJD7	148-363
A0A176WL12	200-409
A0A177D6G4	108-337
A0A177D939	99-326
A0A177D9T1	88-357
A0A177DH89	95-327
A0A177DH95	71-297
A0A177DHU3	89-289
A0A177DIL2	118-351
A0A177DK85	119-359
A0A177DM13	71-285
A0A177DMT7	71-285
A0A177DMZ0	127-309
A0A177DP90	112-339
A0A177DQF3	62-276
A0A177DSJ1	44-238
A0A177DTC8	94-297
A0A177DXP3	123-376
A0A177E0Q1	114-312
A0A177E1Y0	96-330
A0A177E2B8	86-303
A0A177E2Y1	106-330
A0A177E398	6-217
A0A177E3H5	100-326
A0A1E7F8K2	120-322
A0A1I8GLN0	175-412
A0A1I8J0F5	175-412
A0A1L8FPX0	166-390
A0A1L8FPY5	166-391
A0A1L8HAY8	175-407
A0A1L8HHA8	180-408
A0A1L8HNZ5	185-418
A0A1L9B3D7	39-241
A0A1Q9E9E1	726-907
A0A1Q9ENY0	4055-4271
A0A1S3H960	233-415
A0A1S3HAX8	156-341
A0A1S3HNS5	250-429
A0A1S3I9L8	133-327
A0A1S3IIA6	246-425
A0A1S3JQE0	964-1135
A0A1S3JR59	1426-1597
A0A1S3JRH7	1426-1597
A0A1S9D7B6	54-345
A0A1S9D8U5	112-304
A0A1S9DBW0	105-332
A0A1S9DF80	66-255
A0A1S9DJX3	118-349
A0A1S9DK56	58-384
A0A1S9DQI5	97-324
A0A1S9DSW9	69-295
A0A1S9DY89	42-344
A0A1S9E169	67-293
A0A1Y1HT28	66-381
A0A1Y1HVY3	229-438
A0A1Y1WUU7	8-184
A0A1Y1WXW1	45-338
A0A1Y1X7W0	37-216
A0A1Y1XAL5	27-200
A0A1Y1XFV3	62-239
A0A1Y1XLK1	60-237
A0A1Y1XM11	30-213
A0A1Y1XU76	58-232
A0A1Y1XUF9	33-203
A0A1Y1XUN2	61-238
A0A1Y1XZB8	44-221
A0A1Y1Y0G3	58-233
A0A1Y1Y162	58-233
A0A1Y1Y3B8	60-238
A0A1Y1Y3H3	61-230
A0A1Y1Y511	67-244
A0A1Y1Y750	36-213
A0A1Y1YBC0	78-255
A0A1Y1YDM8	53-228
A0A1Y1YHD6	57-231
A0A1Y1Z2V1	28-197
A0A1Y1Z3P8	62-238
A0A1Y1Z4N2	35-218
A0A1Y1Z697	60-238
A0A1Y1ZAQ2	33-208
A0A1Y1ZC58	64-243
A0A267G1D3	98-335
A0A2G5BCT7	59-232
A0A2G5BCT9	61-233
A0A2G5BCU3	65-238
A0A2G5BDP2	60-232
A0A2G5BJJ6	55-228
A0A2G5BJJ9	8-170
A0A2G5BJN3	71-241
A0A2H3GFQ3	67-285
A0A2H3GLJ8	67-250
A0A2H3GPA0	71-420
A0A2H3GPD7	71-281
A0A2H3GQY4	104-329
A0A2H3H030	86-342
A0A2H3H6R0	99-324
A0A2H3HDD6	111-347
A0A2H3HKI2	109-342
A0A2H3HNW1	75-313
A0A2H3HZX2	69-287
A0A2K1IGC8	113-326
A0A2K1IK82	102-322
A0A2K1IZ55	106-323
A0A2K1J0S4	178-393
A0A2K1J162	94-319
A0A2K1JC20	110-320
A0A2K1JC22	153-350
A0A2K1K1L4	119-330
A0A2K1K363	109-320
A0A2K1KIQ0	111-327
A0A2K2AV86	139-356
A0A2K2CAK1	159-369
A0A2K2CAK3	91-309
A0A2K2CAL3	159-369
A0A2K2CAL4	152-341
A0A2K2CAL5	159-369
A0A2K2CAM1	159-369
A0A2K2CAM6	193-399
A0A2K3CX80	85-269
A0A2R2MNF5	133-327
A0A2R2MPF3	143-330
A0A2R5FJR1	86-327
A0A2T6ZB28	79-297
A0A2T6ZCK0	76-265
A0A2T6ZI61	169-396
A0A2T6ZP66	85-287
A0A2T6ZP82	51-238
A0A2T6ZRN0	56-314
A0A2T6ZRN3	56-314
A0A2T6ZWP4	54-328
A0A2T6ZWP9	814-1067
A0A2T7A7H9	80-286
A0A2V3IRL0	236-413
A0A2V3ITQ3	71-375
A0A2V3J6W0	162-342
A0A2Z6QID9	53-346
A0A2Z6QJV6	53-346
A0A2Z6RB52	28-320
A0A2Z6S775	55-322
A0A318S2J3	39-243
A0A384J750	80-325
A0A384J8A3	89-318
A0A384JB29	8-207
A0A384JDM9	104-358
A0A384JJM0	88-284
A0A384JWB2	82-335
A0A384K0M5	128-317
A0A384K3L4	98-314
A0A384K4W6	97-290
A0A384K5I7	63-322
A0A384K673	104-336
A0A3M6T5K9	245-483
A0A3M6T5K9	616-854
A0A3M6T600	169-407
A0A3M6TCS2	137-315
A0A3M6TI44	142-327
A0A3M6TI44	494-675
A0A3M6U071	76-257
A0A3M6UE86	380-568
A0A3M6UM69	82-264
A0A3M6UM69	505-692
A0A3M6UP51	97-285
A0A3M6UR97	24-215
A0A3M6URF3	44-229
A0A3P3WAR6	47-328
A0A498IS04	180-387
A0A498IS85	180-387
A0A498IVC1	173-388
A0A498IVH3	276-483
A0A498IWF2	180-382
A0A498IXC7	9-216
A0A498IXV7	175-383
A0A498JTL7	171-378
A0A498JVN7	169-376
A0A498JWA5	172-378
A0A498JYY9	182-390
A0A498K1J9	529-737
A0A4P9ZNY3	76-269
A0A4P9ZSR0	35-214
A0A4P9ZTR7	63-245
A0A4P9ZUL5	60-239
A0A4P9ZVA0	34-208
