protein_acc	proteome_acc	species
A0A010Q293	UP000020467	Colletotrichum fioriniae
A0A010Q4B9	UP000020467	Colletotrichum fioriniae
A0A010QAA5	UP000020467	Colletotrichum fioriniae
A0A010QHN9	UP000020467	Colletotrichum fioriniae
A0A010QIY5	UP000020467	Colletotrichum fioriniae
A0A010QL93	UP000020467	Colletotrichum fioriniae
A0A010QPL7	UP000020467	Colletotrichum fioriniae
A0A010QXZ0	UP000020467	Colletotrichum fioriniae
A0A010QYY8	UP000020467	Colletotrichum fioriniae
A0A010R234	UP000020467	Colletotrichum fioriniae
A0A010R9A2	UP000020467	Colletotrichum fioriniae
A0A010RBA2	UP000020467	Colletotrichum fioriniae
A0A010RL70	UP000020467	Colletotrichum fioriniae
A0A010RM53	UP000020467	Colletotrichum fioriniae
A0A010RPY0	UP000020467	Colletotrichum fioriniae
A0A010RQ21	UP000020467	Colletotrichum fioriniae
A0A010RR72	UP000020467	Colletotrichum fioriniae
A0A010RUM6	UP000020467	Colletotrichum fioriniae
A0A010RV53	UP000020467	Colletotrichum fioriniae
A0A010RV80	UP000020467	Colletotrichum fioriniae
A0A010RY59	UP000020467	Colletotrichum fioriniae
A0A010RYF3	UP000020467	Colletotrichum fioriniae
A0A010S1R5	UP000020467	Colletotrichum fioriniae
A0A010S630	UP000020467	Colletotrichum fioriniae
A0A010S6Q2	UP000020467	Colletotrichum fioriniae
A0A010SFQ0	UP000020467	Colletotrichum fioriniae
A0A010SKU6	UP000020467	Colletotrichum fioriniae
A0A010SMB4	UP000020467	Colletotrichum fioriniae
A0A010SNL7	UP000020467	Colletotrichum fioriniae
A0A015J8T7	UP000022910	Rhizophagus irregularis
A0A016RWG9	UP000024635	Ancylostoma ceylanicum
A0A016RXK8	UP000024635	Ancylostoma ceylanicum
A0A016S930	UP000024635	Ancylostoma ceylanicum
A0A016SJ50	UP000024635	Ancylostoma ceylanicum
A0A016SK14	UP000024635	Ancylostoma ceylanicum
A0A016T0A5	UP000024635	Ancylostoma ceylanicum
A0A016T1G5	UP000024635	Ancylostoma ceylanicum
A0A016TKY1	UP000024635	Ancylostoma ceylanicum
A0A016UL52	UP000024635	Ancylostoma ceylanicum
A0A016ULR3	UP000024635	Ancylostoma ceylanicum
A0A016VBJ0	UP000024635	Ancylostoma ceylanicum
A0A016VC89	UP000024635	Ancylostoma ceylanicum
A0A016VDA3	UP000024635	Ancylostoma ceylanicum
A0A016VE53	UP000024635	Ancylostoma ceylanicum
A0A016VS08	UP000024635	Ancylostoma ceylanicum
A0A016W0V7	UP000024635	Ancylostoma ceylanicum
A0A016W1E9	UP000024635	Ancylostoma ceylanicum
A0A016W1G3	UP000024635	Ancylostoma ceylanicum
A0A016W1Z7	UP000024635	Ancylostoma ceylanicum
A0A016W210	UP000024635	Ancylostoma ceylanicum
A0A016W215	UP000024635	Ancylostoma ceylanicum
A0A016W255	UP000024635	Ancylostoma ceylanicum
A0A016W259	UP000024635	Ancylostoma ceylanicum
A0A016W267	UP000024635	Ancylostoma ceylanicum
A0A016W313	UP000024635	Ancylostoma ceylanicum
A0A016W316	UP000024635	Ancylostoma ceylanicum
A0A016W324	UP000024635	Ancylostoma ceylanicum
A0A016W3A4	UP000024635	Ancylostoma ceylanicum
A0A016W3W4	UP000024635	Ancylostoma ceylanicum
A0A016W3W9	UP000024635	Ancylostoma ceylanicum
A0A016WCE7	UP000024635	Ancylostoma ceylanicum
A0A016WQP8	UP000024635	Ancylostoma ceylanicum
A0A016WQV2	UP000024635	Ancylostoma ceylanicum
A0A017S513	UP000019804	Aspergillus ruber
A0A017SD63	UP000019804	Aspergillus ruber
A0A017SF68	UP000019804	Aspergillus ruber
A0A022QC39	UP000030748	Erythranthe guttata
A0A022QE60	UP000030748	Erythranthe guttata
A0A022QG63	UP000030748	Erythranthe guttata
A0A022QL39	UP000030748	Erythranthe guttata
A0A022R0C6	UP000030748	Erythranthe guttata
A0A022R0D6	UP000030748	Erythranthe guttata
A0A022R0D9	UP000030748	Erythranthe guttata
A0A022R1L2	UP000030748	Erythranthe guttata
A0A022R1L7	UP000030748	Erythranthe guttata
A0A022R3H9	UP000030748	Erythranthe guttata
A0A022R5P3	UP000030748	Erythranthe guttata
A0A024FZ14	UP000053237	Albugo candida
A0A024GPM3	UP000053237	Albugo candida
A0A024GR18	UP000053237	Albugo candida
A0A024GU68	UP000053237	Albugo candida
A0A058ZVU6	UP000030711	Eucalyptus grandis
A0A058ZW33	UP000030711	Eucalyptus grandis
A0A058ZX16	UP000030711	Eucalyptus grandis
A0A059CCV1	UP000030711	Eucalyptus grandis
A0A059CDE4	UP000030711	Eucalyptus grandis
A0A059EKV3	UP000054343	Anncaliia algerae
A0A059F260	UP000030655	Anncaliia algerae
A0A059JJQ6	UP000024533	Trichophyton interdigitale
A0A060S6S8	UP000029665	Trametes cinnabarina
A0A060SLI6	UP000029665	Trametes cinnabarina
A0A060WMQ6	UP000193380	Oncorhynchus mykiss
A0A060WUY0	UP000193380	Oncorhynchus mykiss
A0A060X1G5	UP000193380	Oncorhynchus mykiss
A0A060X8B7	UP000193380	Oncorhynchus mykiss
A0A060XL10	UP000193380	Oncorhynchus mykiss
A0A060ZAB7	UP000193380	Oncorhynchus mykiss
A0A061DZ45	UP000026915	Theobroma cacao
A0A061E0X0	UP000026915	Theobroma cacao
A0A061E6S7	UP000026915	Theobroma cacao
A0A061GEN3	UP000026915	Theobroma cacao
A0A061GFI2	UP000026915	Theobroma cacao
A0A061GFY3	UP000026915	Theobroma cacao
A0A061GFY7	UP000026915	Theobroma cacao
A0A061GMJ6	UP000026915	Theobroma cacao
A0A061GMK1	UP000026915	Theobroma cacao
