A0A024FZ14,78-283
A0A024GR18,12-148
A0A067BLT8,59-266
A0A067BLZ4,339-506
A0A067BRT6,314-380
A0A067BRT6,436-481
A0A067BUS0,66-273
A0A067BZH5,59-266
A0A067C156,281-338
A0A067C156,408-447
A0A067C4V3,110-157
A0A067CT24,91-265
A0A067CZT6,74-279
A0A067D5R2,317-487
A0A0D1CHR5,496-694
A0A0D1E6L1,110-301
A0A0F9WDC2,44-102
A0A0F9WDC2,123-200
A0A0G4IJY2,132-206
A0A0G4IJY2,233-284
A0A0G4IK72,50-121
A0A0G4IK72,148-207
A0A0G4IQ91,178-239
A0A0G4IUF0,137-188
A0A0G4IUQ3,58-115
A0A0G4IUQ3,150-213
A0A0L0FIJ4,2-230
A0A0L0RXW5,83-252
A0A0L0SBE5,81-250
A0A0L0SEA4,6-130
A0A0L0SML6,98-169
A0A0L0SML6,204-266
A0A0L0TAE3,68-163
A0A0L0TAE3,193-237
A0A0L0TBD6,149-221
A0A0L0TBD6,253-317
A0A0U9HU61,134-209
A0A0U9HU61,217-335
A0A0V0R8Y7,70-249
A0A137NQ04,16-120
A0A137NW82,5-94
A0A137NZ11,3-33
A0A137P2W7,6-62
A0A137P4I0,1-53
A0A137P4Q5,48-126
A0A137P4T8,45-97
A0A137P785,25-136
A0A137PAH5,9-81
A0A137PAH5,119-176
A0A137PB18,59-120
A0A137PC54,24-114
A0A137PJ02,3-144
A0A143PGW5,22-78
A0A143PJ31,1-28
A0A176VEQ7,26-70
A0A176VFF9,4-54
A0A176W5U5,566-668
A0A176W8E6,223-438
A0A176W8N2,243-402
A0A176WFF6,83-197
A0A176WHV9,28-79
A0A176WHX1,228-296
A0A176WJ99,70-93
A0A176WJM8,1-189
A0A176WJM8,251-303
A0A177DYQ6,12-91
A0A1E7FM11,55-256
A0A1E7FTK4,124-183
A0A1E7FTK4,207-297
A0A1H1X1U7,71-171
A0A1H1X1U7,223-274
A0A1Q9CWE2,422-638
A0A1Q9CY91,545-819
A0A1Q9DXC9,137-328
A0A1Q9DZ23,195-307
A0A1Q9ENY0,691-907
A0A1Q9ENY0,1528-1744
A0A1Q9ENY0,2365-2581
A0A1Q9ENY0,3202-3418
A0A1S3JQE0,114-264
A0A1S3JR59,576-726
A0A1S3JRH7,576-726
A0A1X7SEW5,151-246
A0A1X7UHV7,2140-2301
A0A1X7VUQ0,1612-1777
A0A1Y1HLN7,140-201
A0A1Y1HLN7,229-341
A0A1Y1IBB9,173-234
A0A1Y1IBB9,245-373
A0A1Y1IJ30,139-206
A0A1Y1IJ30,220-317
A0A1Y1XVN2,4-45
A0A1Y1Y3L9,53-101
A0A1Y1YF00,58-111
A0A1Y1Z2B1,490-599
A0A1Y1Z5B8,63-216
A0A1Y1Z6J4,28-202
A0A2G5BD05,41-129
A0A2H3G244,704-781
A0A2H3GCF0,158-372
A0A2H3HRT2,19-121
A0A2H3HYJ4,111-366
A0A2K1KF87,35-117
A0A2K2CAL0,6-44
A0A2K2CAL2,74-229
A0A316YEU0,185-357
A0A316YS64,103-388
A0A3M6V3J4,97-257
A0A3N7FVW5,15-80
A0A498IVC1,589-649
A0A498JTL7,697-758
A0A498JUU5,23-136
A0A498JVN1,1-29
A0A498JZV7,9-87
A0A4W3IX93,171-278
A0A562UDK5,36-134
A0A562UDK5,187-237
A0A6P7S5P2,664-732
A0A6P7S5P2,789-826
A0A6P7S5P2,1501-1672
A0A6P7S851,128-203
A0A6P7S851,248-290
A0A7E6EGY5,33-98
A0A7E6EGY5,442-611
A0A7E6EME7,128-203
A0A7E6EME7,248-290
A0A7E6EN34,664-732
A0A7E6EN34,789-826
A0A7E6EN34,1501-1672
A0A7E6EN69,303-371
A0A7E6EN69,428-465
A0A7E6EN69,1140-1311
A0A7E6EP82,23-185
A0A7E6EP82,860-1031
A0A7E6EPM9,659-727
A0A7E6EPM9,784-821
A0A7E6EPM9,1496-1667
A0A7M5TY65,10-52
A0A7M5UEV7,39-162
A0A7M5V391,294-390
A0A7M5V4U7,60-311
A0A7M5WYG4,239-461
A0A7M5X1J4,47-109
A0A7M6DQ32,263-482
A0A7M7RDL5,619-784
A0A803TR56,15-97
A0A814YW27,97-170
A0A815XYA0,100-352
A0A835YKM2,189-249
A0A835YKM2,264-424
A0A835Z854,171-356
A0A835Z8Z2,216-402
A0A8B7YYH0,691-843
A0A8J5XMZ9,58-328
A0A8K0EF69,675-839
A0A8K0EH44,675-839
A0A8K0EJ61,675-839
A0A8K0F103,172-335
A0A8K0KU96,329-399
A0A8K1CQT5,60-261
