DATASET_DOMAINS
SEPARATOR COMMA
DATASET_LABEL,Domains
COLOR,#ff0000
DATA
XP_001818908.1,408
EIT83447.1,408
KAB8271409.1,408
4J3P_A,383
6GSG_A,383
KAE8346534.1,408
KAE8321207.1,408
4J3Q_A,339
KAB8218613.1,408
KAB8201281.1,408
XP_022388049.1,390
KAE8158513.1,408
XP_031910580.1,408
XP_031931354.1,408
XP_031937169.1,408
XP_015404592.1,422,HH|132|363|#7df62d|PF00264_Common central domain of tyrosinase
KAE8391775.1,408
KAF7594719.1,406
XP_031898352.1,408
KAE8375210.1,408
KAB8070426.1,405
KAE8351517.1,408
KAE8146931.1,408
XP_052951113.1,408
PIG81138.1,380
XP_045940441.1,408
XP_025447795.1,409
XP_025502678.1,409
XP_040796720.1,409
XP_024702765.1,408
PYI36092.1,409
GMF72834.1,399
XP_020052399.1,409
XP_025490499.1,409
XP_025527571.1,409
GMG05688.1,399
KAK1138845.1,408
PYI24499.1,409
PYI12264.1,408
XP_025550912.1,409
OOF95096.1,408
XP_025575504.1,408
XP_025456298.1,406
XP_001389342.1,406
KAI2845333.1,406
XP_025471992.1,408
XP_026629930.1,406
KAI3088645.1,406
GKZ22626.1,404
OJJ74607.1,404
GKZ30280.1,404
XP_025568103.1,406
XP_025534797.1,406
XP_056514459.1,411
OJI86616.1,406
XP_035356729.1,406
OJZ92187.1,406
XP_056737986.1,396
XP_025512677.1,406
GLA68834.1,406
GLB09339.1,406
KAJ5125559.1,412,HH|122|353|#7df62d|PF00264_Common central domain of tyrosinase
XP_025476309.1,406
XP_041539803.1,406
KAJ5093687.1,416
XP_025389714.1,406
CAG7990555.1,412
CAG8394211.1,412
CAG8078514.1,412
XP_056784169.1,419
CAG8093570.1,412
CAG8930855.1,412
GFF29867.1,413
XP_026612785.1,414
GFF64847.1,413
KAF7174173.1,412
KAF7183875.1,412
XP_043130766.1,405
GFF34403.1,413
XP_025402046.1,399
GFG11845.1,413
CAG7930450.1,408
CAG7986219.1,408
CAG8077757.1,408
CAG8279628.1,408
XP_058378397.1,411
KAJ6064024.1,411
KAJ6012692.1,411
XP_033416412.1,413
KAF4227997.1,413
KAF4161785.1,745,RE|1|18|#27220e|SignalP-TM_SignalP-TM,HH|417|719|#542037|PF07992_Pyridine nucleotide-disulphide oxidoreductase,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,HH|123|354|#7df62d|PF00264_Common central domain of tyrosinase
XP_057130184.1,410
XP_022485842.1,410
KAJ5341990.1,411
XP_056979810.1,410
KAJ5339145.1,411
GAQ10037.1,724,RE|1|18|#27220e|SignalP-TM_SignalP-TM,HH|396|698|#542037|PF07992_Pyridine nucleotide-disulphide oxidoreductase,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,HH|123|354|#7df62d|PF00264_Common central domain of tyrosinase
XP_057081134.1,410
XP_057110482.1,408
KAF4200737.1,745
XP_056807837.1,411
XP_033427774.1,362
THD00201.1,344
XP_025428940.1,392
KAJ5502237.1,407
KAJ5982239.1,410
XP_058324893.1,410
KAF4151430.1,745
XP_056525573.1,402
OQE36208.1,410
XP_056527513.1,410
XP_056579329.1,410
KAF7173843.1,411
CAG7944353.1,410
OQE91943.1,410
XP_056728498.1,409
XP_057102846.1,411
XP_040651100.1,409
XP_043163362.1,430
KAJ5214359.1,410
CAG8177468.1,410
KGO68522.1,410
KAF7115512.1,411
KAF4171501.1,745
XP_056755621.1,410
KAJ5282529.1,410
XP_002565755.1,410
XP_056563664.1,410
XP_057144472.1,410
OQD67812.1,401
KAJ5474562.1,407
KAJ5529860.1,401
KUM56340.1,401
KAJ5483431.1,410
KAJ5426864.1,401
OQE28031.1,410
KAJ5542202.1,407
RLL96930.1,408
RHZ56795.1,408
KAJ5193984.1,409
XP_056544980.1,1097
CAG8891062.1,410
KAF4222196.1,774,RE|1|27|#27220e|SignalP-TM_SignalP-TM,HH|446|748|#542037|PF07992_Pyridine nucleotide-disulphide oxidoreductase,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,HH|123|354|#7df62d|PF00264_Common central domain of tyrosinase
XP_022581844.1,406
CRL18728.1,410
XP_057040189.1,409
KAJ5968633.1,401
KAJ6126902.1,410
XP_040812365.1,411
KAF4766474.1,410,RE|1|23|#27220e|SignalP-TM_SignalP-TM,RE|1|18|#eebe41|SignalP-noTM_SignalP-noTM,RE|1|23|#eebe41|SignalP-noTM_SignalP-noTM,HH|119|351|#7df62d|PF00264_Common central domain of tyrosinase
XP_038926851.1,409
KAI2740794.1,409
XP_057064389.1,404
KAJ5501428.1,415
XP_016595732.1,420
XP_056963078.1,413
XP_057033381.1,407
XP_056471750.1,390
XP_057123229.1,417
OQE16461.1,415
