DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	species
COLOR	#ff0000
DATA
CDM37049.1	#90caab	Penicillium roqueforti
XP_048745316.1	#d83527	Ostrea edulis
SMH67861.1	#9ffbe4	Scolopendra dehaani
GBP94078.1	#5a02c7	Eumeta japonica
KAG7002153.1	#de8d21	Physcia stellaris
XP_020243338.1	#415b90	Asparagus officinalis
OCK96598.1	#8009fd	Cenococcum geophilum
KAF1966210.1	#e47fb7	Bimuria novae-zelandiae
WP_158880380.1	#2edb04	Amycolatopsis anabasis
KAF7537824.1	#2b5766	Neopestalotiopsis clavispora
KAG8739700.1	#3507ae	Ceratobasidium sp. 414
XP_023290526.1	#aec8f1	Orussus abietinus
CRK98947.1	#264d4a	Clunio marinus
MBG6200183.1	#9c5702	Labrenzia sp. EL_13
KAF8345135.1	#7503eb	Amanita rubescens
WP_189914405.1	#4ddee9	Kitasatospora xanthocidica
MBN3287897.1	#621d2e	Polyodon spathula
XP_038745984.1	#be343f	Colletotrichum karsti
KAH8653530.1	#e9864b	Xylariales sp. PMI_506
XP_009853628.1	#d7fb54	Neurospora tetrasperma
XP_028402202.1	#c7c10e	Dendronephthya gigantea
KAI4299348.1	#2e9a45	Bauhinia variegata
KAF8061616.1	#993194	Lyophyllum atratum
XP_033668467.1	#565915	Zasmidium cellare
KAF9592953.1	#93df17	Coptis chinensis
XP_049872716.1	#2d2c9f	Pectinophora gossypiella
XP_028140070.1	#7ce933	Diabrotica virgifera
KZO96800.1	#ff7c4a	Calocera viscosa
QPF86446.1	#7d32bc	Bradyrhizobium genosp. L
XP_657835.1	#d96983	Aspergillus nidulans
KAH7304751.1	#a6a09d	Stachybotrys elegans
KAF2005946.1	#3c4149	Amniculicola lignicola
KAF9779005.1	#7d8872	Thelephora terrestris
KAH9543102.1	#a928d2	Sphagnum magellanicum
CCA94926.1	#da8947	Mastigoproctus giganteus
XP_002429710.1	#be679b	Pediculus humanus
XP_015633206.1	#4db691	Oryza sativa
KAG9443226.1	#076070	Aristolochia fimbriata
KAH7117504.1	#56789d	Dactylonectria macrodidyma
XP_008079364.1	#df2e21	Glarea lozoyensis
KAF2748572.1	#44da67	Sporormia fimetaria
XP_018404545.1	#be9ef2	Cyphomyrmex costatus
XP_040629865.1	#6acdc2	Dacryopinax primogenitus
OOF95624.1	#437c9c	Aspergillus carbonarius
KAH8731557.1	#43f0bb	Phaeosphaeriaceae sp. PMI808
KAI0270019.1	#598223	Gloeopeniophorella convolvens
KAF2634875.1	#ff3fb5	Massarina eburnea
EYC33687.1	#db9b1f	Ancylostoma ceylanicum
KAI5076531.1	#9dee7b	Adiantum capillus-veneris
RZC59047.1	#079298	Papaver somniferum
PIA30672.1	#0910a3	Aquilegia coerulea
MBM7116932.1	#8cc1d8	Archangium primigenium
XP_043035065.1	#e71db4	Guyanagaster necrorhizus
KAF2433558.1	#4e9b69	Tothia fuscella
RPA76205.1	#b9a0dc	Ascobolus immersus
KAF7508929.1	#434e9c	Endocarpon pusillum
KAG6020303.1	#7ce2ba	Claviceps sp. LM458 group G5
MBN3316902.1	#eeadec	Atractosteus spatula
XP_016988367.1	#a86122	Drosophila rhopaloa
CAE6444295.1	#5191aa	Rhizoctonia solani
TDZ23501.1	#56c2b7	Colletotrichum orbiculare
RMZ69978.1	#c4244b	Pyrenophora seminiperda
XP_015428727.1	#9203ab	Dufourea novaeangliae
KIN02046.1	#f813fd	Oidiodendron maius
XP_008028866.1	#8124ec	Exserohilum turcicum
KXJ87137.1	#c3d540	Microdochium bolleyi
RYO09768.1	#d74a29	Alternaria tenuissima
EFN82402.1	#8209cf	Harpegnathos saltator
KAI3877993.1	#942eea	Papaver armeniacum
XP_038922892.1	#9862e8	Cantharellus anzutake
RRT54348.1	#00a566	Ensete ventricosum
KAF7740354.1	#56cb3e	Entomophthora muscae
XP_042023970.1	#b27298	Salvia splendens
PXF44739.1	#a5b56a	Gracilariopsis chorda
XP_027108754.1	#3e5e2b	Coffea arabica
QRV95099.1	#490b49	Ceratobasidium sp. AG-Ba
KAH7347638.1	#296b75	Plectosphaerella cucumerina
KAH9863923.1	#b6ec1a	Leptosphaeria biglobosa
