	0	1	2	3	4	5	6	7	8	9	10	11
A0A8H6NEA7.1/110-344	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	211NX@147550|Sordariomycetes	1EWPF@1028384|Glomerellales					1EWPF@1028384|Glomerellales
E5A901.1/122-354	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	203YJ@147541|Dothideomycetes	4KBGA@92860|Pleosporales					4KBGA@92860|Pleosporales
A1DJF5.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
A0A8E0QKL5.1/99-327	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
A0A0J5SMZ9.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
A0A229WBV1.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
B0XX11.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
Q4WFT7.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
A0A6A7BAH6.1/121-354	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	203YJ@147541|Dothideomycetes	4KBGA@92860|Pleosporales					4KBGA@92860|Pleosporales
A0A830IEJ3.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
A0A8H3P2R3.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
A0A8H6PEN0.1/99-327	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
A0A8H6QJJ2.1/122-353	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A0A8H6VED4.1/122-353	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A0A229YF46.1/99-327	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
A0A8H6R1E0.1/99-327	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
A0A8H4H8E0.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
A0A194X1Z0.1/102-331	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	210M0@147548|Leotiomycetes						210M0@147548|Leotiomycetes
A0A2V1CA82.1/103-333	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	210M0@147548|Leotiomycetes						210M0@147548|Leotiomycetes
A0A2B7Y0Z4.1/32-257	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3RM2K@4890|Ascomycota	21R0A@147550|Sordariomycetes						21R0A@147550|Sordariomycetes
A0A397GNQ0.1/124-355	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A0A8H6Q3V1.1/99-327	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
A0A8H4DQE7.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
A0A6A5RPF7.1/124-357	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	203YJ@147541|Dothideomycetes	4KBGA@92860|Pleosporales					4KBGA@92860|Pleosporales
A0A1U8QRU2.1/100-326	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
Q5BDR2.1/100-326	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
A0A830IS46.1/123-354	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A0A1L9RMH3.1/94-323	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
A1CCY9.1/96-324	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
A0A1L9Q2X8.1/100-326	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
A0A8S9B8Z6.1/102-331	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	210M0@147548|Leotiomycetes						210M0@147548|Leotiomycetes
A0A8E2JWP1.1/130-363	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	203YJ@147541|Dothideomycetes	4KBGA@92860|Pleosporales					4KBGA@92860|Pleosporales
A0A8H3ZY08.1/103-337	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	211NX@147550|Sordariomycetes	1EWPF@1028384|Glomerellales					1EWPF@1028384|Glomerellales
A0A1V6RX09.1/118-349	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A0A6A6VNE3.1/117-350	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	203YJ@147541|Dothideomycetes	4KBGA@92860|Pleosporales					4KBGA@92860|Pleosporales
A0A8H4DLU1.1/123-354	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A0A3A2ZL74.1/122-353	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
W6YRU7.1/113-346	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	203YJ@147541|Dothideomycetes	4KBGA@92860|Pleosporales					4KBGA@92860|Pleosporales
W7EWI4.1/113-346	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	203YJ@147541|Dothideomycetes	4KBGA@92860|Pleosporales					4KBGA@92860|Pleosporales
A0A0F8W6I0.1/96-323	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
A0A2T5LP23.1/96-323	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	20RSW@147545|Eurotiomycetes	3SEY6@5042|Eurotiales					3SEY6@5042|Eurotiales
M2U4D0.1/113-346	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	203YJ@147541|Dothideomycetes	4KBGA@92860|Pleosporales					4KBGA@92860|Pleosporales
N4XF43.1/113-346	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	203YJ@147541|Dothideomycetes	4KBGA@92860|Pleosporales					4KBGA@92860|Pleosporales
A0A8H7X9U9.1/104-334	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	210M0@147548|Leotiomycetes						210M0@147548|Leotiomycetes
A0A8H7W2C3.1/103-333	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	210M0@147548|Leotiomycetes						210M0@147548|Leotiomycetes
A0A8K0VRX6.1/121-355	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	203YJ@147541|Dothideomycetes	4KBGA@92860|Pleosporales					4KBGA@92860|Pleosporales
W6Z236.1/113-346	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	203YJ@147541|Dothideomycetes	4KBGA@92860|Pleosporales					4KBGA@92860|Pleosporales
T0L638.1/103-337	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	211NX@147550|Sordariomycetes	1EWPF@1028384|Glomerellales					1EWPF@1028384|Glomerellales
A0A8H6P2A3.1/120-352	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A0A163MEU3.1/121-354	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	203YJ@147541|Dothideomycetes	4KBGA@92860|Pleosporales					4KBGA@92860|Pleosporales
A0A6A6YDA9.1/129-362	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	203YJ@147541|Dothideomycetes	4KBGA@92860|Pleosporales					4KBGA@92860|Pleosporales
A0A8H6QIW3.1/120-352	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A0A1L9SJV0.1/116-347	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A0A8H5ZPY0.1/113-346	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	203YJ@147541|Dothideomycetes	4KBGA@92860|Pleosporales					4KBGA@92860|Pleosporales
M2TH79.1/113-346	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	203YJ@147541|Dothideomycetes	4KBGA@92860|Pleosporales					4KBGA@92860|Pleosporales
A0A2T2NXX0.1/116-348	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	203YJ@147541|Dothideomycetes	4KBGA@92860|Pleosporales					4KBGA@92860|Pleosporales
A0A6A6A168.1/126-358	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	203YJ@147541|Dothideomycetes	4KBGA@92860|Pleosporales					4KBGA@92860|Pleosporales
A0A8H4GTU5.1/123-354	29DZU@1|root	2RM4B@2759|Eukaryota	39X15@33154|Opisthokonta	3NVC7@4751|Fungi	3QKJG@4890|Ascomycota	20DK8@147545|Eurotiomycetes	3S6FG@5042|Eurotiales					3S6FG@5042|Eurotiales
A0A6A6WRF1.1/100-332	29DZU@1|root	2RM4B@2759|Eukaryota	39XMX@33154|Opisthokonta	3NX6H@4751|Fungi	3QRNN@4890|Ascomycota	1ZX9D@147541|Dothideomycetes						1ZX9D@147541|Dothideomycetes
