DATASET_CONNECTION
SEPARATOR TAB
DATASET_LABEL	class_arrows
COLOR	#ff0000
ALIGN_TO_LABELS,1
CENTER_CURVES,1
CENTER_CURVES,1
DATA
A0A078AII6	A0A078ARQ6	2	#32b95c	dashed	Spirotrichea
A0A0C2YBV3	A0A0C3BJQ5	2	#b0f028	dashed	Agaricomycetes
A0A0C2YBV3	A0A0C3CRE9	2	#b0f028	dashed	Agaricomycetes
A0A0G4IPB5	A0A0G4IUB1	2	#f34caa	dashed	Phytomyxea
A0A0G4IPB5	A0A0G4J7H3	2	#f34caa	dashed	Phytomyxea
A0A0H5S2I7	A0A0I9N9E9	2	#7d33c5	dashed	Chromadorea
A0A0H5S2I7	A0A0J9YBJ2	2	#7d33c5	dashed	Chromadorea
A0A0L0HF05	A0A0L0HG65	2	#0641be	dashed	Chytridiomycetes
A0A0L0HF05	A0A0L0HGD9	2	#0641be	dashed	Chytridiomycetes
A0A0L0RZ18	A0A0L0S5H6	2	#50ec66	dashed	Blastocladiomycetes
A0A0L0RZ18	A0A0L0S6J0	2	#50ec66	dashed	Blastocladiomycetes
A0A0L0RZ18	A0A0L0S771	2	#50ec66	dashed	Blastocladiomycetes
A0A0L0RZ18	A0A0L0SHB1	2	#50ec66	dashed	Blastocladiomycetes
A0A0L0RZ18	A0A0L0SNS0	2	#50ec66	dashed	Blastocladiomycetes
A0A0L0RZ18	A0A0L0SY24	2	#50ec66	dashed	Blastocladiomycetes
A0A0L0RZ18	A0A0L0T1I9	2	#50ec66	dashed	Blastocladiomycetes
A0A0L0RZ18	A0A0L0T297	2	#50ec66	dashed	Blastocladiomycetes
A0A0L0RZ18	A0A0L0T3A5	2	#50ec66	dashed	Blastocladiomycetes
A0A0L0RZ18	A0A0L0T3E0	2	#50ec66	dashed	Blastocladiomycetes
A0A0L0RZ18	A0A0L0T7W0	2	#50ec66	dashed	Blastocladiomycetes
A0A0X3NRP7	A0A0X3Q9U6	2	#7533d6	dashed	Cestoda
A0A137NPV3	A0A137NPX8	2	#319c37	dashed	Entomophthoromycetes
A0A137NPV3	A0A137NQ81	2	#319c37	dashed	Entomophthoromycetes
A0A137NPV3	A0A137NQN3	2	#319c37	dashed	Entomophthoromycetes
A0A137NPV3	A0A137NUB7	2	#319c37	dashed	Entomophthoromycetes
A0A137NPV3	A0A137NY78	2	#319c37	dashed	Entomophthoromycetes
A0A137NPV3	A0A137NYB7	2	#319c37	dashed	Entomophthoromycetes
A0A137NPV3	A0A137NZ43	2	#319c37	dashed	Entomophthoromycetes
A0A137NPV3	A0A137P2U0	2	#319c37	dashed	Entomophthoromycetes
A0A137NPV3	A0A137P2U9	2	#319c37	dashed	Entomophthoromycetes
A0A137NPV3	A0A137P2V9	2	#319c37	dashed	Entomophthoromycetes
A0A137NPV3	A0A137P353	2	#319c37	dashed	Entomophthoromycetes
A0A137NPV3	A0A137P4I7	2	#319c37	dashed	Entomophthoromycetes
A0A137NPV3	A0A137P4K7	2	#319c37	dashed	Entomophthoromycetes
A0A137NPV3	A0A137P4L3	2	#319c37	dashed	Entomophthoromycetes
A0A137NPV3	A0A137P4M5	2	#319c37	dashed	Entomophthoromycetes
A0A137NPV3	A0A137P649	2	#319c37	dashed	Entomophthoromycetes
A0A137NPV3	A0A137P667	2	#319c37	dashed	Entomophthoromycetes
