accession	complete	completeSingle	completeDuplicated	fragmented	missing	total	lineageDb	score	kingdom	phylum	class	order	family	genus	species	name	count_tyrosinases
UP000002186	566	565	1	1	2	569	betaproteobacteria_odb10	99									
UP000017938	179	179	0	10	29	218	firmicutes_odb10	86									
UP000030648	172	172	0	8	14	194	archaea_odb10	92									
UP000030660	185	184	1	4	5	194	archaea_odb10	97									
UP000030679	168	163	5	10	16	194	archaea_odb10	91									
UP000037950	367	367	0	2	8	377	bacteroidetes-chlorobi_group_odb10	97									
UP000199094	123	122	1	0	1	124	bacteria_odb10	99									
UP000236169	87	87	0	12	25	124	bacteria_odb10	79									
UP000236173	108	107	1	7	9	124	bacteria_odb10	92									
UP000236207	116	116	0	2	6	124	bacteria_odb10	95									
UP000236221	107	107	0	5	12	124	bacteria_odb10	90									
UP000236226	94	94	0	9	21	124	bacteria_odb10	83									
UP000236246	118	118	0	4	2	124	bacteria_odb10	98									
UP000236260	99	99	0	7	18	124	bacteria_odb10	85									
UP000236303	116	116	0	4	4	124	bacteria_odb10	96									
UP000236317	122	122	0	1	1	124	bacteria_odb10	99									
UP000236332	118	118	0	3	3	124	bacteria_odb10	97									
UP000236354	102	101	1	10	12	124	bacteria_odb10	90									
UP000236362	97	97	0	2	25	124	bacteria_odb10	79									
UP000236429	110	110	0	6	8	124	bacteria_odb10	93									
UP000236522	109	109	0	8	7	124	bacteria_odb10	94									
UP000236548	93	93	0	9	22	124	bacteria_odb10	82									
UP000236563	108	108	0	4	12	124	bacteria_odb10	90									
UP000236571	103	103	0	6	15	124	bacteria_odb10	87									
UP000236610	105	104	1	5	14	124	bacteria_odb10	88									
UP000236617	106	105	1	4	14	124	bacteria_odb10	88									
UP000236625	122	121	1	1	1	124	bacteria_odb10	99									
UP000236627	163	160	3	6	25	194	archaea_odb10	87									
UP000240531	181	180	1	4	9	194	archaea_odb10	95									
UP000266995	122	120	2	2	0	124	bacteria_odb10	100									
UP000268274	122	121	1	2	0	124	bacteria_odb10	100									
UP000269241	121	120	1	3	0	124	bacteria_odb10	100									
UP000269261	116	114	2	3	5	124	bacteria_odb10	95									
UP000270441	119	117	2	3	2	124	bacteria_odb10	98									
UP000272966	121	120	1	2	1	124	bacteria_odb10	99									
UP000273437	122	121	1	2	0	124	bacteria_odb10	100									
UP000273581	123	31	92	1	0	124	bacteria_odb10	100									
UP000273845	121	120	1	2	1	124	bacteria_odb10	99									
UP000275741	123	122	1	1	0	124	bacteria_odb10	100									
UP000278537	122	120	2	2	0	124	bacteria_odb10	100									
UP000280915	119	117	2	3	2	124	bacteria_odb10	98									
UP000280950	122	121	1	1	1	124	bacteria_odb10	99									
UP000281042	121	120	1	3	0	124	bacteria_odb10	100									
UP000293802	116	116	0	3	5	124	bacteria_odb10	95									
UP000306240	94	94	0	7	23	124	bacteria_odb10	81									
UP000309626	118	118	0	4	2	124	bacteria_odb10	98									
UP000579523	1572	1563	9	2	5	1579	streptomycetales_odb10	99									
UP001149090	197	174	23	7	51	255	eukaryota_odb10	80						Anaeramoeba			
UP000041254	170	167	3	0	1	171	alveolata_odb10	99					Vitrellaceae	Vitrella	Vitrella brassicaformis	Vitrella brassicaformis (strain CCMP3155)	1.0
UP000054408	208	208	0	18	29	255	eukaryota_odb10	88				Apusomonadida	Apusomonadidae	Thecamonas	Thecamonas trahens		
UP000030693	181	174	7	27	47	255	eukaryota_odb10	81				Rotosphaerida	Fonticulaceae	Fonticula			
UP000323011	89	87	2	2	9	100	stramenopiles_odb10	91			Bigyra	Bicosoecida	Cafeteriaceae	Cafeteria			
UP000008312	85	78	7	15	0	100	stramenopiles_odb10	100			Bigyra	Opalinata	Blastocystidae	Blastocystis			
UP000078348	99	96	3	0	1	100	stramenopiles_odb10	99			Bigyra	Opalinata	Blastocystidae	Blastocystis	Blastocystis hominis		
UP000241890	95	90	5	2	3	100	stramenopiles_odb10	97			Bigyra	Thraustochytrida	Thraustochytriaceae	Hondaea		Hondaea fermentalgiana	3.0
UP000641645	108	108	0	3	13	124	bacteria_odb10	89			Candidatus Sericytochromatia						
