A0A059JJQ6,78-318
A0A060S6S8,55-299
A0A067N7R8,71-281
A0A067NVB7,37-227
A0A067NXD0,85-297
A0A067PHP8,77-368
A0A067PPZ9,80-370
A0A067PSS3,80-338
A0A074XC75,101-353
A0A074XNA1,84-319
A0A074XR97,111-334
A0A074XWE1,96-328
A0A084FV28,87-352
A0A084FV70,548-738
A0A084G098,88-272
A0A084G330,119-307
A0A084G3K0,73-282
A0A084G593,65-246
A0A084G5H0,104-330
A0A084G6B5,114-349
A0A084G7V9,66-284
A0A084G9G0,74-257
A0A084GAD1,94-345
A0A084GCK1,108-339
A0A084GDW0,235-427
A0A084GGH5,48-302
A0A084GGL7,75-290
A0A090CH20,72-258
A0A090CL68,117-348
A0A090CMR9,51-284
A0A090CWC0,59-377
A0A090D4S5,70-283
A0A098E091,104-329
A0A0A2J1X4,84-310
A0A0A2JBW7,67-351
A0A0A2JEJ9,129-361
A0A0A2JPW5,88-301
A0A0A2JVP7,64-258
A0A0B7F0F6,90-305
A0A0B7F0G8,86-297
A0A0B7F0N2,86-294
A0A0B7F0Q1,86-294
A0A0B7F1Z6,85-287
A0A0B7F229,62-258
A0A0B7F3K0,63-258
A0A0B7F5A8,68-254
A0A0B7F7A3,97-288
A0A0B7F8H0,75-259
A0A0B7FCB0,71-255
A0A0B7FFE4,80-260
A0A0B7FGN3,75-259
A0A0B7FL26,110-315
A0A0B7FN78,74-279
A0A0B7FQ89,91-290
A0A0B7FQF4,6-179
A0A0B7FT97,56-365
A0A0B7FUX7,90-299
A0A0B7FUY2,84-301
A0A0B7FY08,79-293
A0A0B7G165,93-301
A0A0B7G340,74-258
A0A0B7G4H1,110-339
A0A0C3B766,79-281
A0A0C3F7Q7,138-317
A0A0C3FFF8,82-295
A0A0C3FR79,71-274
A0A0C3FYC4,84-298
A0A0E0RYC2,67-265
A0A0E0S8J8,66-245
A0A0H2RSH5,75-314
A0A0L0HF05,78-279
A0A0L0HG65,75-259
A0A0L0HGD9,113-297
A0A164MPH2,51-306
A0A164PRN3,58-384
A0A164PRP8,64-382
A0A164PTM7,63-357
A0A164PTP3,60-369
A0A164PTP5,58-348
A0A164RA21,57-318
A0A164RA64,57-329
A0A164RAH3,60-344
A0A164RBJ3,63-347
A0A164SP08,71-382
A0A164TCQ0,88-379
A0A165C107,55-286
A0A165DGP7,5-221
A0A165DIB8,117-349
A0A165ELT2,50-279
A0A165F8M0,201-459
A0A165FWQ7,61-304
A0A165GTV7,5-222
A0A165J6H5,23-225
A0A165JGF1,77-309
A0A165JGH2,76-306
A0A165P797,23-225
A0A167H3K1,57-346
A0A167J7M6,85-298
A0A167MK44,174-387
A0A177T6E5,146-328
A0A177T6I1,133-340
A0A177TK21,124-332
A0A177TSF4,37-326
A0A194V5Z8,77-272
A0A194VAU2,75-263
A0A194VBC9,79-287
A0A1C3YLW6,75-313
A0A1C7MJW4,58-313
A0A1J7I5P1,105-334
A0A1J7INL6,86-305
A0A1J7IS49,96-320
A0A1J7ITX6,48-231
A0A1J7J0G6,107-340
A0A1J7J6R4,75-313
A0A1J7JCM8,114-345
A0A1J7JH22,87-306
A0A1J7JKX2,120-353
A0A1J7JNG9,70-317
A0A1J7JYB7,90-299
A0A1J7K205,45-267
A0A1J7K3Z8,92-349
A0A1V8SKS2,103-358
A0A1V8SS50,110-336
A0A1V8SV31,89-348
A0A1V8SXJ4,82-315
A0A1V8T1G2,89-348
A0A1V8TJ40,103-358
A0A1V8TKJ2,110-336
A0A1V8TPK1,82-315
A0A1V8TS84,97-330
A0A1V8TU55,97-326
A0A1X6N7P5,54-306
A0A1X7RK58,108-333
A0A1X7RPF3,52-235
A0A1X7RRH8,359-552
A0A1X7RS54,82-344
A0A1X7RSK7,96-290
A0A1X7RU91,114-317
A0A1X7RVT3,99-291
A0A1X7RWC6,99-351
A0A1X7RXX1,64-347
A0A1X7S3Y0,89-347
A0A1X7S635,174-359
A0A1X7S7T3,13-270
A0A1X7S964,126-359
A0A2G8RMK1,58-305
A0A2G8RML5,78-323
A0A2G8SRB1,82-297
A0A2P7YDE6,97-346
A0A2P7YKX3,100-332
A0A2P7Z1M8,107-314
A0A2P7ZDQ2,83-347
A0A2P7ZE68,69-262
A0A436ZMN6,125-409
A0A436ZMY2,97-343
A0A436ZW26,2-191
A0A436ZW36,95-332
A0A436ZY08,332-575
A0A436ZY67,270-508
A0A437A308,59-338
A0A437A7Y6,89-304
A0A437ABS8,191-429
A0A437ABU9,139-382
A0A437ACI9,112-325
A0A437ACP0,102-354
A0A437AD99,53-372
A0A437AEF9,174-439
A0A437AF91,296-537
A0A4Z0YK01,109-299
A0A4Z0YPH5,141-321
A0A4Z0YR50,104-330
A0A4Z0YS91,117-350
A0A4Z0YUI2,103-330
A0A4Z0Z0E1,95-349
A0A4Z0Z0G8,317-502
A0A4Z0Z0S0,60-357
A0A4Z0Z0X9,99-315
A0A4Z0Z5N9,202-393
A0A4Z0Z8S2,89-309
A0A4Z0ZBZ0,36-311
A0A6A6GXG8,111-344
A0A6A6H4U9,72-262
A0A6A6H9P3,98-361
A0A6A6HHK4,112-302
A0A6A6HPD6,87-346
A0A6A6NPE1,74-326
A0A6A6NZ05,113-337
A0A6A6P305,109-336
A0A6A6P320,89-322
A0A6A6P8E7,36-291
A0A6A6PDQ3,97-342
A0A6A6TY72,67-285
A0A6A6TZ24,88-342
A0A6A6TZQ7,70-298
A0A6A6U210,81-314
A0A6A6U4B6,95-338
A0A6A6U8W6,116-347
A0A6A6UAE3,75-304
A0A6A6UE26,72-320
A0A6A6UN72,33-259
A0A6A6UW36,71-307
A0A6A6VU64,111-298
A0A6A6VVH4,53-330
A0A6A6VYK2,123-354
A0A6A6VZ00,96-324
A0A6A6VZ40,84-333
A0A6A6W082,98-330
A0A6A6W7X2,60-349
A0A6A6W8L4,85-342
A0A6A6WC88,57-356
A0A6A6WEL2,66-329
A0A6A6WGM4,69-263
A0A6A6WID7,75-292
A0A6A6WLA0,80-324
A0A6G1FV90,79-263
A0A6G1FWN2,67-296
A0A6G1G481,146-413
A0A6G1G927,1-241
A0A6G1G9W7,83-311
A0A6G1GCC6,88-272
A0A6G1GDK8,34-268
A0A6G1GF28,104-338
A0A6G1GF50,109-377
A0A6G1HLY0,58-306
A0A6G1HNC2,74-310
A0A6G1HWI3,82-357
A0A6G1HXT1,63-292
A0A6G1I2N2,75-325
A0A6P8AME8,223-413
A0A6P8AU99,70-310
A0A6P8AYP6,68-265
A0A6P8AZ63,95-316
A0A6P8AZF3,73-281
A0A6P8B315,77-297
A0A6P8B4K3,68-271
A0A6P8B8G8,79-322
A0A6P8BBR4,103-355
A0A6P8BEE0,64-250
A0A6P8BIK3,101-328
A0A6P8BJH6,65-275
A0A6P8BK20,67-249
A0A6P8BKM3,148-333
A0A6P8BLM6,109-342
A0A6P8BM78,112-344
A0A8E2DWK1,98-350
A0A8E2E040,58-310
A0A8E2E888,91-304
A0A8E2EJQ3,73-293
