	kingdom	phylum	class	order	family	genus	species	count_tyrosinases	taxid	name	complete	completeSingle	completeDuplicated	fragmented	missing	total	lineageDb	score	proteomeCount	stdCdss	averageCdss	confidence	status
UP000799437	Fungi	Ascomycota	Dothideomycetes	Acrospermales	Acrospermaceae	Pseudovirgaria	Pseudovirgaria hyperparasitica	13	470096	Pseudovirgaria hyperparasitica	3551	3539	12	46	189	3786	dothideomycetes_odb10	95	0	0.0	0	0	Unknown
UP000800041	Fungi	Ascomycota	Dothideomycetes	Aulographales	Aulographaceae	Aulographum	Aulographum hederae	4	1176131	Aulographum hederae CBS 113979	3540	3531	9	36	210	3786	dothideomycetes_odb10	94	0	0.0	0	0	Unknown
UP000799772	Fungi	Ascomycota	Dothideomycetes	Aulographales	Rhizodiscinaceae	Rhizodiscina	Rhizodiscina lignyota	7	1504668	Rhizodiscina lignyota	3575	3556	19	54	157	3786	dothideomycetes_odb10	95	0	0.0	0	0	Unknown
UP000799438	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella	Aplosporella prunicola	7	1176127	Aplosporella prunicola CBS 121167	3671	3625	46	32	83	3786	dothideomycetes_odb10	97	0	0.0	0	0	Unknown
UP000572817	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Botryosphaeria	Botryosphaeria dothidea	12	55169	Botryosphaeria dothidea	3625	3295	330	26	135	3786	dothideomycetes_odb10	96	0	0.0	0	0	Unknown
UP000183809	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia	Diplodia corticola	13	236234	Diplodia corticola	3751	3746	5	7	28	3786	dothideomycetes_odb10	99	0	0.0	0	0	Unknown
UP000190776	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia	Diplodia seriata	12	420778	Diplodia seriata	3264	3255	9	178	344	3786	dothideomycetes_odb10	90	0	0.0	0	0	Unknown
UP000325902	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Lasiodiplodia theobromae	20	45133	Lasiodiplodia theobromae	3691	3640	51	43	52	3786	dothideomycetes_odb10	98	0	0.0	0	0	Unknown
UP000007129	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Macrophomina	Macrophomina phaseolina	12	1126212	Macrophomina phaseolina (strain MS6) (Charcoal rot fungus)	3392	3372	20	236	158	3786	dothideomycetes_odb10	95	0	0.0	0	0	Unknown
UP000013521	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	Neofusicoccum parvum	13	1287680	Botryosphaeria parva (strain UCR-NP2) (Grapevine canker fungus) (Neofusicoccum parvum)	2963	2951	12	449	374	3786	dothideomycetes_odb10	90	0	0.0	0	0	Unknown
UP000799776	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Saccharataceae	Saccharata	Saccharata proteae	4	1314787	Saccharata proteae CBS 121410	3285	3276	9	45	456	3786	dothideomycetes_odb10	87	0	0.0	0	0	Unknown
UP000799441	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Polychaeton	Polychaeton citri	5	1314669	Polychaeton citri CBS 116435	3260	3242	18	59	259	3578	capnodiales_odb10	92	0	0.0	0	0	Unknown
UP000799421	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Piedraiaceae	Piedraia	Piedraia hortae	3	1314780	Piedraia hortae CBS 480.64	2332	2311	21	94	1152	3578	capnodiales_odb10	67	0	0.0	0	0	Unknown
UP000192596	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Rachicladosporium	Rachicladosporium antarcticum	10	1507870	Rachicladosporium antarcticum	3694	287	3407	16	76	3786	dothideomycetes_odb10	97	0	0.0	0	0	Unknown
UP000192386	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Rachicladosporium	Rachicladosporium sp. CCFEE 5018	11	1974281	Rachicladosporium sp. CCFEE 5018	3554	1132	2422	71	161	3786	dothideomycetes_odb10	95	0	0.0	0	0	Unknown
UP000030672	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium melanogenum	5	1043003	Aureobasidium melanogenum CBS 110374	3723	3721	2	41	22	3786	dothideomycetes_odb10	99	59	0.0	0	0	Outlier (low value)
UP000729357	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium melanogenum	10	46634	Aureobasidium melanogenum	2961	1009	1952	447	378	3786	dothideomycetes_odb10	90	58	0.0	0	0	Outlier (high value)
UP000714618	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium mustum	5	2773714	Aureobasidium mustum	3408	3396	12	113	265	3786	dothideomycetes_odb10	93	58	0.0	0	0	Close to standard (low value)
UP000027730	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium namibiae	5	1043004	Aureobasidium namibiae CBS 147.97	3728	3723	5	41	17	3786	dothideomycetes_odb10	99	59	0.0	0	0	Outlier (low value)
UP000030706	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium pullulans	5	1043002	Aureobasidium pullulans EXF-150	3747	3743	4	20	19	3786	dothideomycetes_odb10	99	59	0.0	0	0	Outlier (low value)
UP000030641	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium subglaciale	5	1043005	Aureobasidium subglaciale (strain EXF-2481) (Aureobasidium pullulans var. subglaciale)	3717	3717	0	36	33	3786	dothideomycetes_odb10	99	59	0.0	0	0	Outlier (low value)
UP000745764	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium uvarum	5	2773716	Aureobasidium uvarum	3403	3393	10	107	276	3786	dothideomycetes_odb10	92	58	0.0	0	0	Outlier (low value)
UP000716446	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium vineae	5	2773715	Aureobasidium vineae	3396	3393	3	112	278	3786	dothideomycetes_odb10	92	58	0.0	0	0	Outlier (low value)
UP000504638	Fungi	Ascomycota	Dothideomycetes	Eremomycetales	Eremomycetaceae	Eremomyces	Eremomyces bilateralis	9	1392243	Eremomyces bilateralis CBS 781.70	3312	3307	5	97	377	3786	dothideomycetes_odb10	90	0	0.0	0	0	Unknown
UP000799766	Fungi	Ascomycota	Dothideomycetes	Lineolatales	Lineolataceae	Lineolata	Lineolata rhizophorae	6	578093	Lineolata rhizophorae	3387	3383	4	98	301	3786	dothideomycetes_odb10	92	0	0.0	0	0	Unknown
UP000799302	Fungi	Ascomycota	Dothideomycetes	Microthyriales	Microthyriaceae	Microthyrium	Microthyrium microscopicum	10	703497	Microthyrium microscopicum	3304	3282	22	54	428	3786	dothideomycetes_odb10	88	0	0.0	0	0	Unknown
UP000504637	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Dissoconiaceae	Dissoconium	Dissoconium aciculare	7	1314786	Dissoconium aciculare CBS 342.82	3481	3471	10	76	229	3786	dothideomycetes_odb10	93	0	0.0	0	0	Unknown
UP000237631	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Cercospora	Cercospora berteroae	17	357750	Cercospora berteroae	3727	3720	7	11	48	3786	dothideomycetes_odb10	98	0	0.0	0	0	Unknown
UP000799539	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Cercospora	Cercospora zeae-maydis	12	717836	Cercospora zeae-maydis SCOH1-5	3672	3668	4	60	54	3786	dothideomycetes_odb10	98	0	0.0	0	0	Unknown
UP000016933	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Dothistroma	Dothistroma septosporum	9	675120	Dothistroma septosporum (strain NZE10 / CBS 128990) (Red band needle blight fungus) (Mycosphaerella pini)	3705	3702	3	52	29	3786	dothideomycetes_odb10	99	0	0.0	0	0	Unknown
UP000756132	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Fulvia	Fulvia fulva	15	5499	Passalora fulva (Tomato leaf mold) (Cladosporium fulvum)	3745	3740	5	11	30	3786	dothideomycetes_odb10	99	0	0.0	0	0	Unknown
UP000070133	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Pseudocercospora	Pseudocercospora eumusae	12	321146	Pseudocercospora eumusae	3447	3227	220	17	322	3786	dothideomycetes_odb10	91	0	0.0	0	0	Unknown
UP000016932	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Pseudocercospora	Pseudocercospora fijiensis	11	383855	Pseudocercospora fijiensis (strain CIRAD86) (Black leaf streak disease fungus) (Mycosphaerella fijiensis)	3640	3637	3	86	60	3786	dothideomycetes_odb10	98	0	0.0	0	0	Unknown
UP000660729	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Pseudocercospora	Pseudocercospora fuligena	11	685502	Pseudocercospora fuligena	3660	3643	17	38	88	3786	dothideomycetes_odb10	97	0	0.0	0	0	Unknown
UP000073492	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Pseudocercospora	Pseudocercospora musae	10	113226	Pseudocercospora musae	3242	2931	311	13	531	3786	dothideomycetes_odb10	85	0	0.0	0	0	Unknown
UP000225277	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Ramularia	Ramularia collo-cygni	16	112498	Ramularia collo-cygni	3718	3694	24	28	40	3786	dothideomycetes_odb10	98	0	0.0	0	0	Unknown
UP001056384	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Septoria	Septoria linicola	13	215465	Septoria linicola	3764	3762	2	8	14	3786	dothideomycetes_odb10	99	0	0.0	0	0	Unknown
UP000016931	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Sphaerulina	Sphaerulina musiva	13	692275	Sphaerulina musiva (strain SO2202) (Poplar stem canker fungus) (Septoria musiva)	3701	3699	2	42	43	3786	dothideomycetes_odb10	98	0	0.0	0	0	Unknown
UP000799537	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zasmidium	Zasmidium cellare	15	1080233	Zasmidium cellare ATCC 36951	3742	3726	16	8	36	3786	dothideomycetes_odb10	99	0	0.0	0	0	Unknown
UP000033647	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zymoseptoria	Zymoseptoria brevis	13	1047168	Zymoseptoria brevis	3695	3692	3	29	62	3786	dothideomycetes_odb10	98	0	0.0	0	0	Unknown
UP000008062	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zymoseptoria	Zymoseptoria tritici	13	336722	Zymoseptoria tritici (strain CBS 115943 / IPO323) (Speckled leaf blotch fungus) (Septoria tritici)	3537	3534	3	96	153	3786	dothideomycetes_odb10	95	0	0.0	0	0	Unknown
UP000215127	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zymoseptoria	Zymoseptoria tritici	15	1276538	Zymoseptoria tritici ST99CH_3D7	3678	3674	4	38	70	3786	dothideomycetes_odb10	98	0	0.0	0	0	Unknown
UP000075602	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Acidomyces	Acidomyces sp. 'richmondensis'	5	766039	Acidomyces richmondensis BFW	3641	3629	12	74	71	3786	dothideomycetes_odb10	98	40	0.0	0	0	Close to standard (low value)
UP000011761	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Baudoinia	Baudoinia panamericana	5	717646	Baudoinia panamericana (strain UAMH 10762) (Angels' share fungus) (Baudoinia compniacensis (strain UAMH 10762))	3610	3606	4	86	90	3786	dothideomycetes_odb10	97	40	0.0	0	0	Close to standard (low value)
UP000310066	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Friedmanniomyces	Friedmanniomyces endolithicus	7	329885	Friedmanniomyces endolithicus	3640	540	3100	36	110	3786	dothideomycetes_odb10	97	40	0.0	0	0	Standard
UP000309340	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Friedmanniomyces	Friedmanniomyces simplex	6	329884	Friedmanniomyces simplex	3495	2914	581	97	194	3786	dothideomycetes_odb10	94	40	0.0	0	0	Close to standard (low value)
UP000194280	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Hortaea	Hortaea werneckii	14	1157616	Hortaea werneckii EXF-2000	3590	661	2929	31	165	3786	dothideomycetes_odb10	95	40	0.0	0	0	Standard
UP000276864	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Hortaea	Hortaea werneckii	13	91943	Hortaea werneckii	3457	959	2498	160	169	3786	dothideomycetes_odb10	95	40	0.0	0	0	Standard
UP000799767	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Neohortaea	Neohortaea acidophila	4	245834	Neohortaea acidophila	3588	3578	10	45	153	3786	dothideomycetes_odb10	95	41	0.0	0	0	Outlier (low value)
UP000308549	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Salinomyces	Salinomyces thailandica	4	706561	Salinomyces thailandica	3649	3646	3	26	111	3786	dothideomycetes_odb10	97	40	0.0	0	0	Outlier (low value)
